,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Change To Liabilities,659400000.0,64600000.0,-77100000.0,19400000.0
Total Cashflows From Investing Activities,-271100000.0,-308500000.0,-394800000.0,-267100000.0
Net Borrowings,-1100000.0,-99500000.0,-222000000.0,-403700000.0
Total Cash From Financing Activities,-82100000.0,121700000.0,-232900000.0,-218500000.0
Change To Operating Activities,-80500000.0,34600000.0,23000000.0,38400000.0
Net Income,437200000.0,156700000.0,827900000.0,-6200000.0
Change In Cash,731100000.0,111900000.0,-350700000.0,-146500000.0
Effect Of Exchange Rate,69200000.0,-20100000.0,38600000.0,-1500000.0
Total Cash From Operating Activities,1015100000.0,318800000.0,238400000.0,340600000.0
Depreciation,228500000.0,204200000.0,209800000.0,203600000.0
Other Cashflows From Investing Activities,26100000.0,-19900000.0,-4600000.0,-2900000.0
Dividends Paid,-28600000.0,-18900000.0,-19000000.0,-18900000.0
Change To Inventory,-221300000.0,-180700000.0,-1000000.0,263000000.0
Change To Account Receivables,-44900000.0,-1500000.0,-91300000.0,-105100000.0
Other Cashflows From Financing Activities,-52400000.0,240100000.0,8100000.0,204100000.0
Change To Netincome,33600000.0,40900000.0,-652900000.0,-72500000.0
Capital Expenditures,-297200000.0,-288600000.0,-384800000.0,-265100000.0
Investments,,,-5400000.0,900000.0
