Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Netincome,Capital Expenditures
2017-09-29,11.300000190734863,11.699999809265137,10.800000190734863,11.699999809265137,11.699999809265137,784600,MRTX,1.1153846498698805,1.6324786916957543,2.49145299946472,1.0206479989635429,0.0947366509063376,0.5422183029733083,1.4021598004735172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,11.850000381469728,13.800000190734863,11.5,13.300000190734863,13.300000190734863,1181300,MRTX,0.9548871900101398,1.4060150747942377,2.289473708741128,1.012478214064533,-0.0575910240543932,0.317307519032838,1.2003428302641943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,13.199999809265137,13.350000381469728,12.649999618530272,13.300000190734863,13.300000190734863,597700,MRTX,1.0225564049949305,1.293233121524422,2.345864685376036,1.0113391723313174,0.011217232663613,0.2032697465195199,1.264064043155464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,13.199999809265137,15.0,13.0,14.949999809265137,14.949999809265137,1241000,MRTX,0.9397993558519976,1.2742474568631412,2.0702341911575446,1.0126829906128405,-0.0728836347608429,0.1857637698415748,0.9802748245608806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,15.350000381469728,15.399999618530272,14.0,14.899999618530272,14.899999618530272,910900,MRTX,0.9161073804025172,1.459731580996202,2.1577182784552424,1.0121464877707815,-0.0960391073682643,0.3769311053130892,1.0597965296839833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,14.699999809265137,14.949999809265137,14.25,14.5,14.5,504700,MRTX,0.9344827717748182,1.600000052616514,2.100000052616514,1.0081446760609294,-0.0736619042861111,0.5050568297894777,0.9994269861807504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,14.600000381469728,14.75,13.75,13.75,13.75,474400,MRTX,1.00363637750799,1.8,2.0945453990589487,1.0143616235707735,-0.0107252460627835,0.6962845750473474,0.9960632528822516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,13.899999618530272,14.550000190734863,13.699999809265137,14.25,14.25,438500,MRTX,0.9824561403508772,1.7017543859649122,2.0526315789473686,1.008797349947511,-0.0263412095966336,0.6089037098209666,0.963334266253413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,14.399999618530272,14.5,14.050000190734863,14.399999618530272,14.399999618530272,303400,MRTX,1.0451389298210922,1.722222214863624,1.96875007864502,1.0091988628593096,0.0359400669617826,0.6209900071209176,0.8806530284520264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,14.550000190734863,15.5,13.949999809265137,14.149999618530272,14.149999618530272,681200,MRTX,1.0954063899550797,1.908127259921752,1.9893993199594275,1.0112728774332036,0.084133512521876,0.8094423340983994,0.913364218994298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
