,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-36165000.0,-150293000.0,-28700000.0,-51347000.0
Change To Liabilities,4720000.0,-4178000.0,-485000.0,-4019000.0
Total Cashflows From Investing Activities,-37134000.0,-151213000.0,-29600000.0,-52230000.0
Total Cash From Financing Activities,2235000.0,3698000.0,8997000.0,501190000.0
Change To Operating Activities,-37158000.0,-14603000.0,14028000.0,14398000.0
Issuance Of Stock,2235000.0,3698000.0,11367000.0,501190000.0
Net Income,-63521000.0,-63471000.0,-57395000.0,-39245000.0
Change In Cash,-119314000.0,-215439000.0,-58733000.0,446164000.0
Total Cash From Operating Activities,-84415000.0,-67924000.0,-38130000.0,-2796000.0
Depreciation,1036000.0,1026000.0,1004000.0,903000.0
Change To Account Receivables,-2730000.0,894000.0,-3540000.0,17191000.0
Change To Netincome,13238000.0,12408000.0,8258000.0,7975000.0
Capital Expenditures,-969000.0,-920000.0,-900000.0,-883000.0
Repurchase Of Stock,,,-2370000.0,-2370000.0
