Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Inventory,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2019-06-27,39.0099983215332,40.619998931884766,36.209999084472656,40.29999923706055,40.29999923706055,11245600,ADPT,0.9156328095397344,0.7473945759168786,0.7344913385072493,1.037785887388319,-0.1221530778485846,-0.2533961335147093,-0.3678649562996305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,42.09999847412109,48.82500076293945,41.25,48.29999923706055,48.29999923706055,5403800,ADPT,0.79813664277413,0.6200828413255718,0.6136645933299663,1.0177841146895463,-0.2196474719154165,-0.3546920857344903,-0.4760546905539295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,51.0,51.0,39.58000183105469,40.09999847412109,40.09999847412109,4300600,ADPT,0.9633417091785046,0.770822968169442,0.7478803220023186,0.999153047119394,-0.0358113379408895,-0.206076837008153,-0.3383790781425936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,40.0,40.400001525878906,37.95000076293945,38.88999938964844,38.88999938964844,1877700,ADPT,0.9598869225230952,0.8135767520240752,0.7724351089479126,0.9900308614668376,-0.0301439389437424,-0.1747464151645185,-0.3191443109933373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-03,39.54999923706055,39.54999923706055,38.59999847412109,39.15999984741211,39.15999984741211,1010600,ADPT,0.8968334797939401,0.8375893606962855,0.7622574182272978,0.9525258317006552,-0.055692351906715,-0.1385386384407873,-0.3168429767507538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,39.29999923706055,40.59999847412109,37.75,40.5099983215332,40.5099983215332,919100,ADPT,0.8980499278070161,0.7306838214736673,0.7383362401057757,0.9643929056443962,-0.06634297783738,-0.22802479793683,-0.3499521601928154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-08,40.150001525878906,40.345001220703125,37.400001525878906,37.5099983215332,37.5099983215332,934300,ADPT,1.0394562362879118,0.7704612346500633,0.7781925310644613,0.9738381931141588,0.0656180431737529,-0.2031551922087691,-0.3204876168343868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09,37.5,37.81999969482422,36.5,37.0,37.0,751200,ADPT,1.0729729935929582,0.7756756962956609,0.8002702867662583,0.9920007326738394,0.0809722609191188,-0.202075375221157,-0.2988544436149665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,37.25,38.95000076293945,36.869998931884766,37.70000076293945,37.70000076293945,619100,ADPT,1.104244037815488,0.7305039882810883,0.7259947025290026,0.9810388553975538,0.1232051824179343,-0.2611030660810977,-0.3832932940539915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,37.79999923706055,38.68000030517578,37.5099983215332,37.63999938964844,37.63999938964844,195900,ADPT,1.1160998672355606,0.720775759848385,0.7494686382017006,0.966091893467101,0.1500079737684596,-0.2680730237516648,-0.36044259383213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
