,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,78396000.0,2550000.0,-1670000.0
Total Cashflows From Investing Activities,6068000.0,-17148000.0,-3451000.0
Net Borrowings,196924000.0,-2640000.0,55428000.0
Total Cash From Financing Activities,53212000.0,-4167000.0,-9167000.0
Change To Operating Activities,9740000.0,1522000.0,-12336000.0
Issuance Of Stock,1759253000.0,1759253000.0,1759253000.0
Net Income,88972000.0,-4470000.0,-4472000.0
Change In Cash,211484000.0,2834000.0,-12873000.0
Repurchase Of Stock,-42798000.0,-227000.0,-9000.0
Effect Of Exchange Rate,17000.0,34000.0,-69000.0
Total Cash From Operating Activities,152187000.0,24115000.0,-186000.0
Depreciation,25437000.0,23884000.0,22347000.0
Dividends Paid,-97051000.0,-97051000.0,-52056000.0
Change To Inventory,-19099000.0,106000.0,2311000.0
Change To Account Receivables,-33144000.0,-1888000.0,-4146000.0
Other Cashflows From Financing Activities,-1763116000.0,-1300000.0,-12530000.0
Change To Netincome,-340000.0,477000.0,-3718000.0
Capital Expenditures,-25408000.0,-17148000.0,-3541000.0
Other Cashflows From Investing Activities,,,160000.0
