Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2014-11-04,49.7607650756836,49.7607650756836,44.97607803344727,45.1483268737793,45.1483268737793,43054,LBRDA,1.154090668786416,1.1059103130170151,1.1448928942863854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-05,46.8803825378418,50.14353942871094,44.97607803344727,48.7559814453125,48.7559814453125,1580249,LBRDA,1.0673208728396206,1.0125936852950237,1.0735093131351572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,48.516746520996094,48.90909194946289,45.933013916015625,47.84688949584961,47.84688949584961,1364561,LBRDA,1.0857999924259187,1.049388990873232,1.0982949945287228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,47.94258499145508,48.43062210083008,47.272727966308594,47.3875617980957,47.3875617980957,568898,LBRDA,1.091680046432382,1.054074083316663,1.105775430040898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-10,47.16746520996094,47.67464065551758,44.56459426879883,44.71770477294922,44.71770477294922,807158,LBRDA,1.1326610295195263,1.1322137691365255,1.1740316339258643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-11,44.2679443359375,44.73684310913086,42.87081146240234,43.72248840332031,43.72248840332031,1251388,LBRDA,1.1223057398329097,1.1550120280017044,1.1893193159621511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-12,42.708133697509766,45.44497680664063,42.708133697509766,45.1196174621582,45.1196174621582,779570,LBRDA,1.0698229101398675,1.1188038015742017,1.1875101085684558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,44.33492660522461,46.88995361328125,44.1244010925293,46.43062210083008,46.43062210083008,827327,LBRDA,1.0284161150437467,1.0900134075405112,1.1541951782642563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,46.53588485717773,46.96650695800781,45.43540573120117,45.92344665527344,45.92344665527344,739129,LBRDA,1.0463064673204991,1.1085840361584895,1.160409437809651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-17,46.07655334472656,47.00478363037109,45.94258499145508,46.58373260498047,46.58373260498047,311724,LBRDA,1.036627986104412,1.1005988054354017,1.15727093628492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-18,45.94258499145508,47.26315689086914,45.933013916015625,46.79425811767578,46.79425811767578,427301,LBRDA,1.0537617937929216,1.1223599341117685,1.149286278757828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-19,47.779903411865234,48.66028594970703,46.73684310913086,48.53588485717773,48.53588485717773,281314,LBRDA,1.044175880470859,1.0724023964994869,1.1090763460778656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-20,48.09569549560547,49.67464065551758,48.09569549560547,48.97607803344727,48.97607803344727,470459,LBRDA,1.0464292376576132,1.0588843103144103,1.0784856978288833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,48.62200927734375,49.86602783203125,48.62200927734375,49.37799072265625,49.37799072265625,535145,LBRDA,1.0304186201884034,1.0703148852484952,1.0555309798778505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
