Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-06-17,41.0,41.0,36.0,36.56999969482422,36.56999969482422,72300,IAA,1.232977865158952,1.2064533579454502,1.2846595552169349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-18,36.95000076293945,38.43000030517578,36.59999847412109,38.20000076293945,38.20000076293945,539800,IAA,1.1832460696385954,1.175392686626321,1.2212042040359696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-19,38.25,40.400001525878906,38.25,39.77999877929688,39.77999877929688,2120200,IAA,1.1256913060188982,1.0811965721808252,1.1762192647396146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-20,40.0,40.130001068115234,39.5,40.0,40.0,1277200,IAA,1.1265000343322753,1.0612500190734864,1.1595000267028808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-21,39.119998931884766,40.25,39.119998931884766,39.650001525878906,39.650001525878906,659800,IAA,1.1656998598231096,1.1003782948063356,1.1715006046751928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-24,39.5,39.79999923706055,38.5,38.5099983215332,38.5099983215332,666200,IAA,1.211893020074461,1.127499352412764,1.2220203434020147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-25,38.43000030517578,38.43000030517578,37.08000183105469,37.650001525878906,37.650001525878906,689200,IAA,1.2608233544977254,1.1420982272854292,1.2775563485982684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-26,38.900001525878906,39.720001220703125,37.7400016784668,39.02999877929688,39.02999877929688,1480800,IAA,1.2034333253840106,1.069177577437477,1.236228580811378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-27,39.11000061035156,39.59999847412109,38.34999847412109,38.59000015258789,38.59000015258789,710900,IAA,1.2109354588614212,1.0818864948151652,1.2521378466898976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-28,38.5,41.422000885009766,38.08000183105469,38.77999877929688,38.77999877929688,4257000,IAA,1.205518346353275,1.0791645124151772,1.2447138209693067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,39.880001068115234,41.810001373291016,39.63999938964844,40.970001220703125,40.970001220703125,3452100,IAA,1.1442518836056477,0.98486690924801,1.1662191202267405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,40.560001373291016,41.720001220703125,40.0099983215332,41.61000061035156,41.61000061035156,5924600,IAA,1.141552494670792,0.9658735409081124,1.1295361526216257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-03,41.5,41.93000030517578,40.650001525878906,40.95000076293945,40.95000076293945,946100,IAA,1.141147708708418,0.9824175529355608,1.134798543465703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,41.06999969482422,41.43000030517578,39.7599983215332,40.47999954223633,40.47999954223633,4086200,IAA,1.1798418691112142,0.9861659738235244,1.143774697644245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-08,40.20000076293945,40.54999923706055,39.81999969482422,39.97999954223633,39.97999954223633,2528300,IAA,1.1963482335842783,0.9929965287017808,1.2073537021122145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09,40.0099983215332,41.2400016784668,38.75,40.29999923706055,40.29999923706055,2064300,IAA,1.1665012211291068,0.962779155622897,1.177419396060525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,40.209999084472656,40.400001525878906,39.84000015258789,40.0,40.0,1004100,IAA,1.1252499580383302,0.9100000381469726,1.18149995803833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,39.900001525878906,41.86000061035156,39.900001525878906,41.400001525878906,41.400001525878906,1540700,IAA,1.05301931434597,0.8705313909952139,1.2007245713118928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-12,41.93000030517578,44.11000061035156,41.470001220703125,43.040000915527344,43.040000915527344,1158700,IAA,1.0578531089870686,0.8431691483174474,1.148466525411786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
