Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Other Current Liab,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-06-17,41.0,41.0,36.0,36.56999969482422,36.56999969482422,72300,IAA,1.232977865158952,1.2064533579454502,1.2846595552169349,1.0362360305179736,0.1967418346409783,0.1647061383608719,0.1699493523468074,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-18,36.95000076293945,38.43000030517578,36.59999847412109,38.20000076293945,38.20000076293945,539800,IAA,1.1832460696385954,1.175392686626321,1.2212042040359696,1.0211818473819212,0.1620642222566741,0.1480069301242923,0.1172556544710008,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-19,38.25,40.400001525878906,38.25,39.77999877929688,39.77999877929688,2120200,IAA,1.1256913060188982,1.0811965721808252,1.1762192647396146,1.017305083656913,0.1083862223619851,0.0574765200302751,0.0743565885385653,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-20,40.0,40.130001068115234,39.5,40.0,40.0,1277200,IAA,1.1265000343322753,1.0612500190734864,1.1595000267028808,1.01821240149517,0.1082876328371051,0.0559314144390037,0.0677621443497498,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-21,39.119998931884766,40.25,39.119998931884766,39.650001525878906,39.650001525878906,659800,IAA,1.1656998598231096,1.1003782948063356,1.1715006046751928,1.0334902234173289,0.1322096364057809,0.0831793104091636,0.078869228014422,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-24,39.5,39.79999923706055,38.5,38.5099983215332,38.5099983215332,666200,IAA,1.211893020074461,1.127499352412764,1.2220203434020147,1.0339344217234232,0.1779585983510379,0.1076128283774673,0.1183133879818951,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-25,38.43000030517578,38.43000030517578,37.08000183105469,37.650001525878906,37.650001525878906,689200,IAA,1.2608233544977254,1.1420982272854292,1.2775563485982684,1.0504564498504023,0.2103669046473231,0.1216741235797562,0.1603244393118963,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-26,38.900001525878906,39.720001220703125,37.7400016784668,39.02999877929688,39.02999877929688,1480800,IAA,1.2034333253840106,1.069177577437477,1.236228580811378,1.0472753859585069,0.1561579394255039,0.0411763802928966,0.1227708353174934,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-27,39.11000061035156,39.59999847412109,38.34999847412109,38.59000015258789,38.59000015258789,710900,IAA,1.2109354588614212,1.0818864948151652,1.2521378466898976,1.037785887388319,0.1731495714731021,0.0810957853835772,0.1497815518830176,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
2019-06-28,38.5,41.422000885009766,38.08000183105469,38.77999877929688,38.77999877929688,4257000,IAA,1.205518346353275,1.0791645124151772,1.2447138209693067,1.0177841146895463,0.1877342316637285,0.1043895853551151,0.1549945370854109,160900000.0,,925300000.0,563200000.0,1488500000.0,576200000.0,34000000.0,,266000000.0,530200000.0,-13000000.0,10400000.0,48300000.0,659300000.0,456600000.0,-13000000.0,345200000.0,441800000.0,-127900000.0,311000000.0,,129000000.0,2200000.0,3300000.0,-66100000.0,-4200000.0,-195100000.0,-119300000.0,1600000.0,183700000.0,15200000.0,-900000.0,-1800000.0,278200000.0,97400000.0,-9300000.0,-190900000.0,3100000.0,-66700000.0
