,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,5475000.0,12096000.0,12963000.0
Total Cashflows From Investing Activities,-8612000.0,-9517000.0,-73905000.0
Net Borrowings,-104358000.0,-8436000.0,58349000.0
Total Cash From Financing Activities,208214000.0,-8489000.0,57296000.0
Change To Operating Activities,-8257000.0,-1831000.0,-2614000.0
Issuance Of Stock,316551000.0,650000.0,1110000.0
Net Income,-49397000.0,-8926000.0,-33258000.0
Change In Cash,243529000.0,17575000.0,-6354000.0
Repurchase Of Stock,-1079000.0,-703000.0,-1100000.0
Effect Of Exchange Rate,-883000.0,-2444000.0,-1337000.0
Total Cash From Operating Activities,44810000.0,38025000.0,11592000.0
Depreciation,42753000.0,41560000.0,37011000.0
Change To Account Receivables,-3932000.0,-1521000.0,-2031000.0
Other Cashflows From Financing Activities,-2900000.0,-2900000.0,-1063000.0
Change To Netincome,56648000.0,-4889000.0,-1996000.0
Capital Expenditures,-863000.0,-2107000.0,-4758000.0
