Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock,Repurchase Of Stock
2020-12-11,29.89999961853028,39.5,29.700000762939453,38.08000183105469,38.08000183105469,20151200,CERT,0.9015231139789014,0.8124999749560328,0.6924894845390568,1.073775639924845,-0.1722525259459436,-0.3377246234898071,-0.512610594862468,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-14,35.0099983215332,36.27000045776367,33.400001525878906,33.59000015258789,33.59000015258789,3075700,CERT,1.0818696036769184,0.9083060461531806,0.804406083209915,1.0697624410001334,0.012107162676785,-0.2476841752770059,-0.4170519387186856,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-15,33.709999084472656,35.45000076293945,33.20000076293945,35.0099983215332,35.0099983215332,976900,CERT,1.062553628860338,0.7934876326331949,0.8089117695674312,1.0593177594136232,0.0032358694467149,-0.3176035163338307,-0.4021576240647767,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-16,34.95000076293945,39.29999923706055,34.13999938964844,38.77999877929688,38.77999877929688,2060200,CERT,0.9437854467819216,0.6606498619311693,0.7209902002214451,1.0685424132795076,-0.124756966497586,-0.4398179560524212,-0.486692797540258,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-17,39.0,40.04999923706055,37.5099983215332,39.25,39.25,3556700,CERT,0.9485350201843652,0.7276432984953474,0.7161783594994028,1.0520021356846316,-0.1034671155002664,-0.3808037999143683,-0.4771872516951524,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-18,37.979000091552734,39.5,35.18000030517578,35.54999923706055,35.54999923706055,829300,CERT,1.0500703975300931,0.7924050824430674,0.7969057814823323,1.0541479277304715,-0.0040775302003785,-0.3362599891625314,-0.3996262512227774,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-21,35.7140007019043,37.79999923706055,34.130001068115234,36.810001373291016,36.810001373291016,849900,CERT,0.9997282766678264,0.6949198307356396,0.7576745001124927,1.057296658195766,-0.0575683815279395,-0.4254697650567264,-0.4504589787656852,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-22,36.86000061035156,39.540000915527344,36.650001525878906,37.54999923706055,37.54999923706055,952400,CERT,0.9669774197346536,0.703062587348188,0.7259654003395336,1.051384072668894,-0.0844066529342405,-0.4223322997152653,-0.4795733671104373,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-23,37.5,41.790000915527344,36.12799835205078,40.18000030517578,40.18000030517578,673600,CERT,0.8245395922470313,0.6794424845622488,0.6714783309436885,1.0287074732832335,-0.2041678810362022,-0.4381525940679739,-0.5148513505857184,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-24,40.20000076293945,40.47999954223633,37.0,37.81999969482422,37.81999969482422,238700,CERT,0.9132734318941376,0.7258064776424646,0.6914330996705159,1.0314131762138377,-0.1181397443197,-0.4075087449726124,-0.4939028945355285,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-28,38.20000076293945,39.86399841308594,37.540000915527344,37.540000915527344,37.540000915527344,658600,CERT,0.9168885809672016,0.7352157620767074,0.6888652099008158,1.0230201952264786,-0.1061316142592769,-0.4073441595140913,-0.4860588627519878,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-29,37.66999816894531,37.79999923706055,33.900001525878906,33.900001525878906,33.900001525878906,829100,CERT,1.032153395384239,0.7988200207906617,0.7958701571632697,1.0446043805401628,-0.0124509851559238,-0.3561188268723856,-0.4099876718085712,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-30,34.11000061035156,35.4900016784668,34.00299835205078,34.959999084472656,34.959999084472656,840400,CERT,1.0022883819550847,0.7691647624096056,0.7871853883996973,1.043669894425415,-0.0413815124703302,-0.3700695495787183,-0.4107350723394545,,,,,,,,,,,,,,,,,,,,,,,,,-5366000.0,-2232000.0,-1790000.0,-1845000.0,-583000.0,2777000.0,4997000.0,1256000.0,7818000.0,10587000.0,-1348000.0,-2900000.0,1371000.0,-179000.0,316301000.0,-55000.0
2020-12-31,34.900001525878906,35.13999938964844,33.66999816894531,33.720001220703125,33.720001220703125,531400,CERT,1.0593119788730037,0.7793594227544195,0.7686832484566993,1.045383884821216,0.0139280940517876,-0.3596722236970716,-0.4098439264329362,396445000.0,884528000.0,447268000.0,822132000.0,32665000.0,1269400000.0,1529000.0,3031000.0,-62338000.0,76439000.0,518592000.0,-1587000.0,3907000.0,271382000.0,75345000.0,2744000.0,7285000.0,-1587000.0,3872000.0,346584000.0,-92905000.0,64799000.0,295166000.0,6394000.0,7722000.0,-1403000.0,-81084000.0,232317000.0,353000.0,-54447000.0,241542000.0,-2053000.0,12681000.0,11113000.0,-5497000.0,-2900000.0,53059000.0,-81000.0,316301000.0,
