Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2018-04-27,38.0,40.88999938964844,37.0,39.72999954223633,39.72999954223633,16392400,DOCU,1.2582431979472646,1.403221762958569,1.0777749858593118,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-04-30,39.90499877929688,40.18999862670898,37.52999877929688,38.630001068115234,38.630001068115234,3312100,DOCU,1.2894123737004923,1.524980538922008,1.097851376515152,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-01,38.70000076293945,39.88999938964844,37.84999847412109,39.45000076293945,39.45000076293945,1285600,DOCU,1.2704688963902135,1.4451203350822277,1.0785804414238016,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-02,39.84999847412109,40.5,38.75,39.31999969482422,39.31999969482422,1251300,DOCU,1.364445624167718,1.5259410087914609,1.115971551594169,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-03,39.68999862670898,42.560001373291016,38.810001373291016,41.959999084472656,41.959999084472656,2783600,DOCU,1.3010009853119606,1.4273117420493653,1.068160168559439,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-04,42.400001525878906,42.65999984741211,41.0099983215332,41.09000015258789,41.09000015258789,763500,DOCU,1.3959600972826711,1.493063963161295,1.0812849875927182,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-07,41.650001525878906,41.9119987487793,41.040000915527344,41.310001373291016,41.310001373291016,630800,DOCU,1.3553618934195228,1.4633260409916955,1.0007261868385284,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-08,41.5,43.68000030517578,40.5,43.220001220703125,43.220001220703125,821200,DOCU,1.3401202344529466,1.3465987764725156,0.9854233907838612,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-09,44.43999862670898,44.869998931884766,43.244998931884766,44.09999847412109,44.09999847412109,1178100,DOCU,1.3501134461595687,1.2730159032225978,0.903854920397386,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
2018-05-10,44.880001068115234,46.69900131225586,43.65999984741211,44.0099983215332,44.0099983215332,1467900,DOCU,1.4046808010119132,1.3144739986462632,0.9172915353676016,14148000.0,160265000.0,411120000.0,-338648000.0,77276000.0,283520000.0,619973000.0,4000.0,7856000.0,-502320000.0,37301000.0,37306000.0,3403000.0,86705000.0,256867000.0,373819000.0,,3403000.0,63019000.0,418795000.0,,-390102000.0,,138010000.0,,23713000.0,-415132000.0,90638000.0,-18761000.0,560756000.0,25728000.0,-37373000.0,26433000.0,-52276000.0,66192000.0,-215332000.0,4246000.0,54979000.0,28150000.0,-35011000.0,-705000.0,26874000.0,-18929000.0
