Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt,Inventory,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-12-05,43.43999862670898,44.80099868774414,42.01399993896485,44.5,42.396583557128906,36500,VIACA,1.0302074588739798,0.463367407443398,0.6268595673388813,1.0367512645970387,-0.0065438057230589,-0.2881209961107763,-0.3677580760833002,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-06,43.75,45.0,42.56999969482422,43.61000061035156,41.54865264892578,111700,VIACA,1.031636663780685,0.4770226125693531,0.6179934225325087,1.0330572442281234,-0.0014205804474383,-0.3258691315683886,-0.3648542725491664,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-09,43.59999847412109,43.77199935913086,41.29999923706055,41.40999984741211,39.45264434814453,81500,VIACA,1.0898434908995835,0.4431625481978141,0.6719000096110391,1.0340376238600335,0.05580586703955,-0.2577302080832125,-0.3167251156473233,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-10,41.5,42.08399963378906,40.34999847412109,40.54999923706055,38.6332893371582,47300,VIACA,1.1097344503595907,0.4237118099903382,0.6613372421682184,1.0438020196584652,0.0659324307011255,-0.3139537328252868,-0.3249820715313775,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-11,40.2599983215332,40.9900016784668,39.65999984741211,39.83000183105469,37.94732284545898,66100,VIACA,1.1141454027946065,0.3779924742122849,0.6691677733755156,1.044148768614289,0.0699966341803175,-0.3016572302146479,-0.3200044642607027,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-12,39.630001068115234,41.11000061035156,39.45000076293945,40.4900016784668,38.57612609863281,71800,VIACA,1.0890321878862792,0.4379064524103832,0.6620636835599506,1.0379600676281349,0.0510721202581443,-0.2543711022988433,-0.3249688693192684,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-13,40.38999938964844,41.540000915527344,40.38999938964844,41.540000915527344,39.57649612426758,50800,VIACA,1.069733499853153,0.3998999830453599,0.6416213667406251,1.049983828710455,0.0197496711426978,-0.2666839697037636,-0.3186128291358469,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-16,41.84999847412109,42.68999862670898,41.7599983215332,42.34999847412109,40.34820175170898,85800,VIACA,1.0338432145329144,0.3593436688661166,0.6121370546142452,1.044141152852935,-0.0102979383200205,-0.284331198156352,-0.3537649731482358,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-17,42.59000015258789,43.48799896240234,42.09999847412109,42.709999084472656,40.691184997558594,86000,VIACA,1.0107699951720033,0.4084758061114001,0.5853426237115577,1.0401829423118685,-0.0294129471398649,-0.3024057665889432,-0.3610143948110289,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
2019-12-18,42.869998931884766,43.79800033569336,42.869998931884766,43.59999847412109,41.53911590576172,70800,VIACA,0.9799916982192496,0.4176364628169301,0.6021226477905233,1.0376155592547895,-0.0576238610355399,-0.3111826948655714,-0.3587316235571959,10241000000.0,49907000000.0,33755000000.0,10449000000.0,293000000.0,5173000000.0,44497000000.0,1000000.0,3453000000.0,5569000000.0,7334000000.0,16526000000.0,-45028000000.0,3052000000.0,856000000.0,8321000000.0,266000000.0,-1608000000.0,2079000000.0,11880000000.0,719000000.0,-16318000000.0,7199000000.0,18060000000.0,502000000.0,310000000.0,,-161000000.0,-145000000.0,-611000000.0,-1107000000.0,-2531000000.0,-39000000.0,29000000.0,3455000000.0,297000000.0,-653000000.0,-25000000.0,3464000000.0,427000000.0,-26000000.0,-599000000.0,-12185000000.0,-389000000.0,-201000000.0,366000000.0,-345000000.0
