,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-712625000.0,-754649000.0,-265345000.0,-213244000.0
Change To Liabilities,27712000.0,-101099000.0,95005000.0,131146000.0
Total Cashflows From Investing Activities,-752611000.0,-779290000.0,-319501000.0,-390136000.0
Net Borrowings,-36152000.0,127776000.0,-12026000.0,46559000.0
Total Cash From Financing Activities,694244000.0,1305111000.0,-351806000.0,83294000.0
Change To Operating Activities,-113213000.0,-118208000.0,-128613000.0,-128127000.0
Net Income,302299000.0,233616000.0,280291000.0,182279000.0
Change In Cash,196651000.0,750558000.0,-236903000.0,-10975000.0
Effect Of Exchange Rate,1958000.0,828000.0,9189000.0,4373000.0
Total Cash From Operating Activities,253060000.0,223909000.0,403614000.0,313095000.0
Depreciation,40939000.0,38298000.0,38327000.0,38227000.0
Other Cashflows From Investing Activities,-42854000.0,754000.0,754000.0,754000.0
Dividends Paid,-50058000.0,-50985000.0,-50895000.0,-49070000.0
Change To Account Receivables,-23202000.0,-7825000.0,19800000.0,-43664000.0
Other Cashflows From Financing Activities,780454000.0,1293106000.0,-219146000.0,85805000.0
Change To Netincome,81665000.0,115035000.0,69448000.0,191413000.0
Capital Expenditures,-38953000.0,-28582000.0,-22483000.0,-33556000.0
Repurchase Of Stock,,-64786000.0,-69739000.0,-69739000.0
