Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Long Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,15.9975004196167,16.622499465942383,15.9975004196167,16.1299991607666,16.03346061706543,4233200,TPX,1.0131742815469291,0.975821455027396,0.6903286652833146,1.0206479989635429,-0.0074737174166137,-0.1144389336950499,-0.3989645337078883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,16.149999618530273,16.360000610351562,16.017499923706055,16.262500762939453,16.16516876220703,3102800,TPX,1.022136812282041,0.960030696606241,0.6784012514625015,1.012478214064533,0.0096585982175079,-0.1286768591551587,-0.4107296270144323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,16.385000228881836,16.642499923706055,16.157499313354492,16.475000381469727,16.37639617919922,3017600,TPX,0.8349013993562504,0.9550834689425092,0.6676782808374802,1.0113391723313174,-0.176437772975067,-0.1348799060623928,-0.414122361383092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,16.524999618530273,16.670000076293945,16.459999084472656,16.587499618530273,16.488224029541016,1949600,TPX,0.8126600858943027,0.9483043591023184,0.6542576745793722,1.0126829906128405,-0.2000229047185378,-0.140179327919248,-0.4357016920172918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,16.594999313354492,16.727500915527344,16.424999237060547,16.447500228881836,16.349061965942383,1849200,TPX,0.7864416947234109,0.9469523661638172,0.6639306795905603,1.0121464877707815,-0.2257047930473706,-0.1358481095192955,-0.4339910691806988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,16.392499923706055,16.482500076293945,16.165000915527344,16.252500534057617,16.155229568481445,2254000,TPX,0.7894169452088095,0.974157770850578,0.6658974806708813,1.0081446760609294,-0.2187277308521199,-0.1207854519764581,-0.4346755857648823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,16.280000686645508,16.372499465942383,16.147499084472656,16.270000457763672,16.172624588012695,1546800,TPX,0.8243699547346522,0.9826366861722448,0.6504302395781257,1.0143616235707735,-0.1899916688361212,-0.1210787387804078,-0.4480519065985712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,16.309999465942383,16.434999465942383,16.200000762939453,16.262500762939453,16.16516876220703,1373600,TPX,0.8161414167729768,0.9806302597553994,0.6484242739171824,1.008797349947511,-0.1926559331745341,-0.1122204163885461,-0.4408730387767732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,16.24250030517578,16.372499465942383,16.24250030517578,16.34000015258789,16.242206573486328,1434800,TPX,0.8125764333057682,0.9562422186872696,0.6395347758476978,1.0091988628593096,-0.1966224295535413,-0.1449899890554368,-0.4485622743452958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,16.209999084472656,16.262500762939453,15.484999656677246,16.012500762939453,15.916666030883787,4417600,TPX,0.8370022733599388,0.9469164282880224,0.652302773053345,1.0112728774332036,-0.1742706040732647,-0.1517684975353302,-0.4237323279117844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,16.149999618530273,16.267499923706055,15.845000267028809,16.1875,16.09061622619629,1994000,TPX,0.8288802775020783,0.9553667878243036,0.6557529370443771,1.0098252549340063,-0.1809449774319282,-0.1528827105629714,-0.4211376667992399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,16.200000762939453,16.4375,16.032499313354492,16.3075008392334,16.20989990234375,2347200,TPX,0.8289130069507461,0.9676528265175104,0.6694771502694074,1.0047827275420922,-0.1758697205913461,-0.1474089386241972,-0.4161168470907991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
