Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Other Current Assets,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures
2020-08-14,44.4900016784668,56.0,36.150001525878906,55.900001525878906,55.900001525878906,23677700,CVAC,0.9656529171514652,1.368336239281827,1.7561716545481223,1.005359460743004,-0.0397065435915386,0.2397739269503549,0.3940226946467167,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-17,84.4000015258789,85.0,67.12000274658203,77.19999694824219,77.19999694824219,14222900,CVAC,0.6852332074746723,0.9668394085519192,1.2042746748168105,0.999910744389532,-0.3146775369148598,-0.1496058961704029,-0.1257491575641682,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-18,72.41699981689453,73.05000305175781,65.08999633789062,65.69999694824219,65.69999694824219,4106000,CVAC,0.7928463100785816,1.1445966581624654,1.4353121374731024,0.9949555639278014,-0.2021092538492197,0.0124039055147324,0.1022625873407798,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-19,67.70500183105469,67.98999786376953,55.04999923706055,56.900001525878906,56.900001525878906,5240500,CVAC,0.8801406061171653,1.4005272461225178,1.690333879190351,0.9768858377185572,-0.096745231601392,0.2661452630635517,0.3131995626519326,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-20,63.0,66.88999938964844,60.70000076293945,66.0,66.0,7037600,CVAC,0.7575757575757576,1.288787841796875,1.406666611180161,0.9875636487882484,-0.2299878912124908,0.1299145526221374,0.0349821703100492,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-21,66.90799713134766,69.73999786376953,63.36000061035156,67.19999694824219,67.19999694824219,2625400,CVAC,0.7087798099871958,1.2217262232519888,1.2434524010909127,0.9669804572148069,-0.258200647227611,0.0391298805806685,-0.1180650583625178,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-24,68.97000122070312,69.0,59.09999847412109,62.650001525878906,62.650001525878906,1985400,CVAC,0.6991220777379875,1.3055067665360272,1.2981644030361217,0.9519424952921356,-0.2528204175541481,0.1468886341187507,-0.014465101336623,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-25,60.65999984741211,63.40999984741211,59.220001220703125,63.25,63.25,819700,CVAC,0.6964426756847517,1.359683794466403,1.3073518172554348,0.9667641278619096,-0.270321452177158,0.1971625960097451,-0.0317841145741888,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-26,61.34999847412109,62.29999923706055,58.75,59.5,59.5,1005200,CVAC,0.7690756020425749,1.7675629944360558,1.3410084187483586,0.9868389913626016,-0.2177633893200267,0.6157968675618843,-0.0172366389700873,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
2020-08-27,59.5,59.900001525878906,56.0,57.709999084472656,57.709999084472656,982900,CVAC,0.7915439443745609,1.6830705041468554,1.469416121938112,0.97477619582067,-0.183232251446109,0.5298334024282914,0.1007919544802296,5416000.0,173422000.0,-42802000.0,966000.0,16379000.0,130620000.0,11603000.0,-515947000.0,68192000.0,461542000.0,6343000.0,30684000.0,28086000.0,,461542000.0,61686000.0,57175000.0,-48218000.0,1458000.0,17153000.0,65018000.0,6197000.0,5331000.0,533000.0,38080000.0,-280000.0,28181000.0,67979000.0,67979000.0,296000.0,867717000.0,-99873000.0,9304000.0,107000.0,-86963000.0,5844000.0,2325000.0,-3246000.0,-10117000.0,19093000.0,-11172000.0
