,2020-12-31,2019-12-31,2018-12-31
Investments,-1161000.0,38080000.0,10459000.0
Change To Liabilities,650808000.0,-280000.0,9616000.0
Total Cashflows From Investing Activities,-45274000.0,28181000.0,-4264000.0
Net Borrowings,-47884000.0,67979000.0,-112000.0
Total Cash From Financing Activities,819833000.0,67979000.0,-112000.0
Change To Operating Activities,-47633000.0,296000.0,-5770000.0
Issuance Of Stock,867717000.0,867717000.0,867717000.0
Net Income,-129122000.0,-99873000.0,-71241000.0
Change In Cash,1291909000.0,9304000.0,-78273000.0
Effect Of Exchange Rate,-5053000.0,107000.0,213000.0
Total Cash From Operating Activities,522403000.0,-86963000.0,-74110000.0
Depreciation,9543000.0,5844000.0,3781000.0
Other Cashflows From Investing Activities,3239000.0,2325000.0,2325000.0
Change To Inventory,-8334000.0,-3246000.0,878000.0
Change To Account Receivables,15332000.0,-10117000.0,-5595000.0
Change To Netincome,30681000.0,19093000.0,-5779000.0
Capital Expenditures,-36329000.0,-11172000.0,-9406000.0
