,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,238000.0,-21227000.0,-3714000.0,-1551000.0
Change To Liabilities,18161000.0,69184000.0,-14825000.0,106585000.0
Total Cashflows From Investing Activities,-61744000.0,-105464000.0,-100414000.0,-65115000.0
Net Borrowings,-467641000.0,44713000.0,-77070000.0,49088000.0
Total Cash From Financing Activities,-464434000.0,34799000.0,-104103000.0,28301000.0
Change To Operating Activities,52097000.0,-1710000.0,-34348000.0,-119400000.0
Issuance Of Stock,4027000.0,4027000.0,2230000.0,2230000.0
Net Income,137369000.0,98573000.0,53281000.0,64278000.0
Change In Cash,-193185000.0,-86286000.0,76604000.0,-57898000.0
Repurchase Of Stock,-70000.0,-70000.0,-70000.0,-70000.0
Effect Of Exchange Rate,2058000.0,-1847000.0,6664000.0,98208000.0
Total Cash From Operating Activities,330935000.0,-13774000.0,274457000.0,-119292000.0
Depreciation,33641000.0,33008000.0,37058000.0,33988000.0
Change To Inventory,15526000.0,-57392000.0,55003000.0,-9971000.0
Change To Account Receivables,39780000.0,-196331000.0,117154000.0,-223098000.0
Other Cashflows From Financing Activities,-750000.0,-9914000.0,-29263000.0,-20787000.0
Change To Netincome,34361000.0,40894000.0,61134000.0,28325000.0
Capital Expenditures,-61982000.0,-84237000.0,-96700000.0,-63564000.0
