,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,119906000.0,-324358000.0,-357582000.0,-755232000.0
Total Cashflows From Investing Activities,-166820000.0,-60280000.0,-116596000.0,-193260000.0
Net Borrowings,886747000.0,1146331000.0,2209045000.0,5834024000.0
Total Cash From Financing Activities,-2244036000.0,-1921379000.0,-1330186000.0,2771339000.0
Change To Operating Activities,230809000.0,1077951000.0,-1489917000.0,-2238889000.0
Net Income,1045363000.0,2049682000.0,1541788000.0,1471374000.0
Change In Cash,-459195000.0,-21510000.0,-1391328000.0,1075534000.0
Repurchase Of Stock,-504912000.0,-585340000.0,-567161000.0,-30192000.0
Effect Of Exchange Rate,15716000.0,-2958000.0,9712000.0,123850000.0
Total Cash From Operating Activities,1935945000.0,1963107000.0,45742000.0,-1626395000.0
Depreciation,106189000.0,97349000.0,82903000.0,71976000.0
Dividends Paid,-1319227000.0,-1292171000.0,-1635921000.0,-2842582000.0
Change To Account Receivables,70053000.0,-237751000.0,43037000.0,282026000.0
Other Cashflows From Financing Activities,-1306644000.0,-1190199000.0,-1336149000.0,-189911000.0
Change To Netincome,363625000.0,-699766000.0,225513000.0,-457650000.0
Capital Expenditures,-111650000.0,-60280000.0,-18377000.0,-24347000.0
