Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Issuance Of Stock
2020-05-01,10.149999618530272,10.149999618530272,9.779999732971191,9.779999732971191,9.555713653564451,15100,UWMC,1.0173823230829235,1.081799584266976,1.021472287326051,1.1717589994825794,-0.1543766763996559,-0.1604207945235851,-0.3214609673349013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,10.260000228881836,10.260000228881836,10.260000228881836,10.260000228881836,10.024704933166504,300,UWMC,0.9790448991667828,1.0321637913689223,0.973684187994956,1.1726715956239289,-0.193626696457146,-0.2041724801977136,-0.4002077298118334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,10.199999809265137,10.199999809265137,10.04300022125244,10.199999809265137,9.96608066558838,1100,UWMC,0.9852942428910164,1.03823537038981,0.980392228162676,1.199456117160557,-0.2141618742695404,-0.1946514609267993,-0.3891031975249297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,9.96608066558838,0,UWMC,0.980392228162676,1.0166666778307347,0.9823530531924144,1.241846991780565,-0.261454763617889,-0.2377484517994867,-0.4034647893747697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,10.0,10.0,10.0,10.0,9.770668029785156,21500,UWMC,1.0039999851639114,1.0349999921915325,1.0060000265487898,1.1857653446877672,-0.1817653595238557,-0.1873487440740344,-0.3296517125092515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,10.0,10.0,10.0,10.0,9.770668029785156,9100,UWMC,1.0039999851639114,1.0459999757937504,1.0030000132743953,1.1243771196277146,-0.1203771344638031,-0.146102789755786,-0.3197926956894947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,10.0,10.0,10.0,10.0,9.770668029785156,400,UWMC,1.0,1.0390000749612895,1.0030000132743953,1.0573369744033387,-0.0573369744033387,-0.1614652042948803,-0.3576639332607583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,10.050000190734863,10.050000190734863,10.0,10.0,9.770668029785156,7700,UWMC,1.0100000117127017,1.0500000585635074,1.0039999851639114,1.114546628139541,-0.1045466164268393,-0.1860860929452705,-0.3971642770717938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,10.0,10.050000190734863,10.0,10.050000190734863,9.8195219039917,3300,UWMC,0.9950248215051404,1.0447761208525408,1.0079601690474884,1.1712625506774148,-0.1762377291722744,-0.2367579066463809,-0.4320577627801647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,10.0,10.0,9.960000038146973,9.960000038146973,9.731585502624512,700,UWMC,1.004016049301535,1.0542169105653132,1.020080344505511,1.1765211541107627,-0.1725051048092276,-0.2015787791247079,-0.4074572872509865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
