Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-05-01,10.149999618530272,10.149999618530272,9.779999732971191,9.779999732971191,9.555713653564451,15100,UWMC,1.0173823230829235,1.081799584266976,1.021472287326051,368117000.0,24839000.0,2761044000.0,319051000.0,61953000.0,3080095000.0,44586000.0,294212000.0,10500000.0,42113000.0,2361147000.0,1714635000.0,48580000.0,2652898000.0,-49066000.0,2566199000.0,399897000.0,186096000.0,56895000.0,170738000.0,734241000.0,728868000.0,-671730000.0,300000000.0,91316000.0,-26567000.0,-926173000.0,50687000.0,-5373000.0,-35300000.0,-15775000.0,-418041000.0,-53274000.0
2020-05-04,10.260000228881836,10.260000228881836,10.260000228881836,10.260000228881836,10.024704933166504,300,UWMC,0.9790448991667828,1.0321637913689223,0.973684187994956,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-05,10.199999809265137,10.199999809265137,10.04300022125244,10.199999809265137,9.96608066558838,1100,UWMC,0.9852942428910164,1.03823537038981,0.980392228162676,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-06,10.199999809265137,10.199999809265137,10.199999809265137,10.199999809265137,9.96608066558838,0,UWMC,0.980392228162676,1.0166666778307347,0.9823530531924144,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-07,10.0,10.0,10.0,10.0,9.770668029785156,21500,UWMC,1.0039999851639114,1.0349999921915325,1.0060000265487898,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-08,10.0,10.0,10.0,10.0,9.770668029785156,9100,UWMC,1.0039999851639114,1.0459999757937504,1.0030000132743953,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-11,10.0,10.0,10.0,10.0,9.770668029785156,400,UWMC,1.0,1.0390000749612895,1.0030000132743953,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-12,10.050000190734863,10.050000190734863,10.0,10.0,9.770668029785156,7700,UWMC,1.0100000117127017,1.0500000585635074,1.0039999851639114,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-13,10.0,10.050000190734863,10.0,10.050000190734863,9.8195219039917,3300,UWMC,0.9950248215051404,1.0447761208525408,1.0079601690474884,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
2020-05-14,10.0,10.0,9.960000038146973,9.960000038146973,9.731585502624512,700,UWMC,1.004016049301535,1.0542169105653132,1.020080344505511,731353000.0,24839000.0,5992771000.0,661323000.0,55408000.0,6654094000.0,56806000.0,636484000.0,14136000.0,133283000.0,447947000.0,131000000.0,140850000.0,5767755000.0,-70030000.0,5577666000.0,5464587000.0,249996000.0,-19291000.0,577375000.0,3082592000.0,3009807000.0,-2951240000.0,300000000.0,415057000.0,91170000.0,-3496012000.0,92205000.0,-72785000.0,-4907000.0,-15775000.0,-1027836000.0,-16775000.0
