Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,57.31999969482422,58.119998931884766,57.31999969482422,58.09999847412109,58.09999847412109,194800,SITE,1.0931153182357112,1.2611015243950885,1.3111876472614348,1.0206479989635429,0.0724673192721683,0.1708411356726424,0.2218944482702318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,58.2400016784668,59.165000915527344,58.2400016784668,58.95000076293945,58.95000076293945,425700,SITE,1.0758269270255216,1.2369804448719954,1.3022900025360131,1.012478214064533,0.0633487129609886,0.1482728891105957,0.2131591240590793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,59.02000045776367,60.119998931884766,58.93999862670898,60.02000045776367,60.02000045776367,462600,SITE,1.0723092322473733,1.2045985088359945,1.2875707795717053,1.0113391723313174,0.0609700599160558,0.1146351338310924,0.2057701373511331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,60.5099983215332,62.060001373291016,60.08000183105469,61.68999862670898,61.68999862670898,637400,SITE,1.0306371088737134,1.1655049947553324,1.2687631445201402,1.0126829906128405,0.0179541182608728,0.077021307733766,0.1788037779234761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,61.70000076293945,62.18999862670898,61.400001525878906,61.61000061035156,61.61000061035156,243500,SITE,1.0389547395244736,1.1507872232347691,1.2881025778957336,1.0121464877707815,0.026808251753692,0.0679867475516564,0.1901808291244744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,61.43999862670898,62.47999954223633,61.09000015258789,62.45000076293945,62.45000076293945,264100,SITE,1.0248198433646838,1.1433146621873345,1.258767008006222,1.0081446760609294,0.0166751673037544,0.0483714393602983,0.1581939415704585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,62.45000076293945,62.630001068115234,61.7599983215332,62.18999862670898,62.18999862670898,323500,SITE,1.004019938985698,1.1493810087693876,1.2453770486976574,1.0143616235707735,-0.0103416845850754,0.045665583816735,0.1468949025209605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,62.400001525878906,62.58000183105469,61.72999954223633,62.130001068115234,62.130001068115234,285900,SITE,1.0222114474439656,1.145662306156067,1.2171254055456595,1.008797349947511,0.0134140974964547,0.0528116300121213,0.1278280928517039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,61.97999954223633,62.48500061035156,61.66999816894531,62.27999877929688,62.27999877929688,183100,SITE,1.07145158421416,1.1604045931210003,1.189627453276695,1.0091988628593096,0.0622527213548504,0.0591723853782939,0.1015304030837014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,62.130001068115234,63.09000015258789,62.0099983215332,62.79999923706055,62.79999923706055,144700,SITE,1.0929936341327453,1.1369427132690662,1.1492038064604817,1.0112728774332036,0.0817207566995417,0.0382577874457135,0.0731687054953522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
