Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Dividends Paid,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2018-04-24,23.01000022888184,23.440000534057617,22.51000022888184,22.51000022888184,20.330320358276367,78900,NVT,1.1803641317905538,1.19591295309488,1.080948739476325,1.0406249194487622,0.1397392123417915,0.1155456872145437,0.0601717242655284,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-04-25,23.100000381469727,24.0,22.76000022888184,23.020000457763672,20.79093360900879,25400,NVT,1.1450913389986108,1.1694180701195742,1.075050569073515,1.03953065299256,0.1055606860060509,0.099340092859685,0.043793566990653,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-04-26,22.75,23.25,22.75,23.25,20.99866104125977,2400,NVT,1.1440863063073865,1.1784947080416943,1.0857735781943811,1.0247521280151235,0.119334178292263,0.1068937639879006,0.0447484149521157,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-04-27,22.93000030517578,23.459999084472656,22.76000022888184,22.850000381469727,20.63739585876465,332700,NVT,1.1698029905713887,1.1916848144892498,1.1273994243405625,1.0380132315445008,0.1317897590268879,0.1227298275563684,0.0896274374465535,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-04-30,23.26000022888184,23.43000030517578,21.36000061035156,22.100000381469727,19.960020065307617,444200,NVT,1.2253393495661025,1.240551777439777,1.164742294620279,1.0376551498532594,0.1876841997128431,0.1540623226097068,0.116414360164506,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-05-01,21.170000076293945,23.3700008392334,21.0,22.71999931335449,20.519981384277344,40727700,NVT,1.1795775014453849,1.243024042653262,1.1606131220499742,1.0446815749675655,0.1348959264778193,0.1564443718278585,0.1087788521462889,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-05-02,22.600000381469727,24.0,22.049999237060547,22.76000022888184,20.556108474731445,10724600,NVT,1.2139719137993572,1.2620654984666413,1.1937491701323548,1.0548014599130375,0.1591704538863196,0.1651332036559822,0.1172979273348242,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-05-03,22.549999237060547,24.280000686645508,22.549999237060547,23.51000022888184,21.23348426818848,4972800,NVT,1.211399527921095,1.2410684394043687,1.143166367256979,1.0605317444062077,0.1508677835148872,0.1382226741349448,0.0674828035069416,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-05-04,23.450000762939453,26.0,22.809999465942383,24.89999961853028,22.4888916015625,5699200,NVT,1.1285139690276775,1.1527900568043032,1.045570237991847,1.056267554793551,0.0722464142341265,0.0651390333165009,-0.005426497932137,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
2018-05-07,24.440000534057617,26.34000015258789,24.3799991607666,25.34000015258789,22.88628578186035,4655100,NVT,1.0836622703299148,1.130390228189754,0.9802236935479236,1.0491433491707594,0.0345189211591554,0.0468697713924675,-0.0451154852452508,1236600000.0,,933700000.0,3791300000.0,98400000.0,4725000000.0,3848400000.0,33100000.0,,542800000.0,2238200000.0,-57100000.0,251800000.0,26900000.0,390900000.0,,,-57100000.0,265800000.0,732600000.0,316500000.0,419200000.0,,224100000.0,174100000.0,17000000.0,-41200000.0,947200000.0,-359500000.0,79600000.0,8600000.0,361700000.0,5400000.0,-56000000.0,-3600000.0,409700000.0,97900000.0,-62900000.0,-8900000.0,-18200000.0,-119400000.0,-31800000.0,-359500000.0
