Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Long Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2021-03-24,15.0,15.0,15.0,15.0,15.0,100,DSEY,1.140666707356771,1.165999984741211,1.0693333943684895,1.0856410250000772,0.0550256823566936,0.0696962420304863,-0.0118797725287811,2324600000.0,128900000.0,4546900000.0,-356900000.0,3300000.0,34900000.0,4190000000.0,1100000.0,14300000.0,-392100000.0,543700000.0,417300000.0,-94800000.0,173800000.0,73400000.0,851400000.0,64000000.0,11800000.0,-94800000.0,368000000.0,893700000.0,-3098800000.0,532600000.0,3151800000.0,237300000.0,427500000.0,12600000.0,29900000.0,-227100000.0,-900000.0,12200000.0,-27400000.0,16700000.0,-239100000.0,-219200000.0,-6700000.0,2400000.0,172100000.0,31900000.0,-21300000.0,1000000.0,-3600000.0,76000000.0,-127400000.0,-1300000.0
2021-03-25,13.5,14.979999542236328,13.5,14.979999542236328,14.979999542236328,16136600,DSEY,1.1675567627225123,1.1775700886980804,1.05407212579232,1.0730788964453477,0.0944778662771648,0.0966095568807956,-0.0256153984501605,2262900000.0,242200000.0,4534700000.0,-321200000.0,2100000.0,36300000.0,4213500000.0,2200000.0,15900000.0,-501100000.0,483000000.0,416900000.0,-64500000.0,162300000.0,128300000.0,893600000.0,54400000.0,9500000.0,-64500000.0,448100000.0,923300000.0,-3001000000.0,532300000.0,3098400000.0,209000000.0,419600000.0,,0.0,-44600000.0,79000000.0,73900000.0,8100000.0,5000000.0,-109000000.0,51800000.0,700000.0,21800000.0,185500000.0,80800000.0,12700000.0,-83000000.0,-3800000.0,-2300000.0,-122400000.0,-1300000.0
2021-03-26,14.5,15.09000015258789,13.760000228881836,15.079999923706056,15.079999923706056,4730500,DSEY,1.1830238887828546,1.187665778383542,1.0490716031075618,1.054404908622988,0.1286189801598665,0.1248077507931102,-0.0023528611295431,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
2021-03-29,15.0,15.149999618530272,14.3100004196167,14.9399995803833,14.9399995803833,1313500,DSEY,1.2041499515662375,1.1941098161751211,1.0756358866251003,1.0689163053254425,0.135233646240795,0.1135694795386152,0.0047343595226352,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
2021-03-30,14.869999885559082,14.949999809265137,14.15999984741211,14.640000343322754,14.640000343322754,763100,DSEY,1.229508167888106,1.2062841142942162,1.1249999267156023,1.0517320513246775,0.1777761165634281,0.1312140324270991,0.0588476257353334,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
2021-03-31,14.520000457763672,14.850000381469728,13.880000114440918,14.710000038146973,14.710000038146973,1189400,DSEY,1.2209380719168976,1.214140079132277,1.1148878025833229,1.0518071453770457,0.1691309265398519,0.150021734616345,0.0402180046146491,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
2021-04-01,14.390000343322754,14.949999809265137,13.899999618530272,14.770000457763672,14.770000457763672,1862100,DSEY,1.1767094530881357,1.1746783915873142,1.130670294201738,1.0320601759921184,0.1446492770960172,0.1256677580478784,0.0752932184935337,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
2021-04-05,14.729999542236328,14.829999923706056,13.960000038146973,14.5600004196167,14.5600004196167,536000,DSEY,1.1820053975606768,1.219093371459345,1.1407967123388882,1.0244191200348804,0.1575862775257963,0.1878939065833396,0.0979345551906647,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
2021-04-06,14.390000343322754,15.09000015258789,13.989999771118164,14.899999618530272,14.899999618530272,1022500,DSEY,1.161744960343149,1.1852349194324396,1.1261745715602025,1.0223156584391035,0.1394293019040453,0.1394691275857202,0.0821579381932178,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
2021-04-07,14.800000190734863,15.039999961853027,14.6899995803833,14.75,14.75,1939600,DSEY,1.2006779040320446,1.230508448713917,1.0955932099940413,1.0394801739198338,0.1611977301122107,0.1778091386819078,0.0406879320269377,2311400000.0,247200000.0,4794700000.0,-508600000.0,900000.0,35600000.0,4286100000.0,2200000.0,4600000.0,-545300000.0,458600000.0,467000000.0,-212700000.0,148400000.0,192900000.0,956900000.0,60600000.0,20200000.0,-212700000.0,409000000.0,950300000.0,-3287000000.0,435200000.0,3337000000.0,282400000.0,404600000.0,,-33500000.0,-70800000.0,25700000.0,23600000.0,19000000.0,5000000.0,-38500000.0,59400000.0,3600000.0,103000000.0,195600000.0,66900000.0,-70400000.0,17000000.0,-7100000.0,36500000.0,-87000000.0,
