,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-3296000.0,-12397000.0,6925000.0,-60322000.0
Change To Liabilities,73588000.0,22978000.0,-5463000.0,-20396000.0
Total Cashflows From Investing Activities,-9989000.0,-59987000.0,-666000.0,-72215000.0
Total Cash From Financing Activities,11164000.0,982000.0,7720000.0,1424000.0
Change To Operating Activities,-18137000.0,2195000.0,-9454000.0,-7872000.0
Issuance Of Stock,11164000.0,982000.0,7720000.0,1424000.0
Net Income,-61677000.0,-53626000.0,-47551000.0,-29756000.0
Change In Cash,29656000.0,-65678000.0,19964000.0,-35643000.0
Total Cash From Operating Activities,28481000.0,-6673000.0,12910000.0,35148000.0
Depreciation,3026000.0,11982000.0,11553000.0,10751000.0
Change To Account Receivables,-30670000.0,-42394000.0,9915000.0,36065000.0
Change To Netincome,36676000.0,35641000.0,37566000.0,30590000.0
Capital Expenditures,-2938000.0,-3158000.0,-4416000.0,-8225000.0
