Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2017-09-29,97.88999938964844,98.58999633789062,97.66000366210938,98.56999969482422,95.09483337402344,8185900,DIS,0.99228972093833,1.1477410229399714,1.0308499414727057,1.0206479989635429,-0.0283582780252128,0.0574806342175253,-0.0584432575184972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,99.30999755859376,100.44000244140624,99.11000061035156,99.86000061035156,96.33935546875,6923300,DIS,0.99168822825806,1.1267565780804143,1.013394531507377,1.012478214064533,-0.0207899858064729,0.0380490223190146,-0.0757363469695568,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-03,100.0500030517578,100.8499984741211,99.91000366210938,100.79000091552734,97.23655700683594,5447700,DIS,0.9757913501697528,1.1003576307239158,1.0036438631964404,1.0113391723313174,-0.0355478221615646,0.0103942557190137,-0.0781567790241317,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-04,100.73999786376952,100.93000030517578,100.1999969482422,100.5500030517578,97.00502014160156,5126100,DIS,0.9810044985930392,1.1021820354831853,1.0049365920015678,1.0126829906128405,-0.0316784920198013,0.0136983484616188,-0.0850227745950962,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-05,100.63999938964844,100.87000274658205,100.0199966430664,100.11000061035156,96.5805435180664,4736700,DIS,1.0052941759640666,1.1022935846853683,1.0287872546065036,1.0121464877707815,-0.0068523118067149,0.0194931090022556,-0.0691344941647555,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-06,99.9499969482422,100.2699966430664,99.33999633789062,100.06999969482422,96.5419464111328,4360200,DIS,1.0153892706670316,1.118045864902537,1.019528058678297,1.0081446760609294,0.0072445946061021,0.0231026420755009,-0.0810450077574664,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-09,100.80999755859376,100.9800033569336,99.4499969482422,99.56999969482422,96.05957794189452,5429600,DIS,1.0161694473255345,1.1386437678985977,1.0214079876760038,1.0143616235707735,0.0018078237547609,0.034928342945945,-0.0770741585006931,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-10,99.98999786376952,100.06999969482422,98.66000366210938,99.58000183105467,96.06922149658205,7704400,DIS,1.031130755000105,1.1205104675712363,1.0147255575669758,1.008797349947511,0.022333405052594,0.0276597914272906,-0.0745717551269797,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-11,99.58000183105467,99.58000183105467,98.0500030517578,98.5500030517578,95.0755386352539,7984000,DIS,1.0632165280918613,1.1453143665881036,1.024410473624833,1.0091988628593096,0.0540176652325516,0.0440821588453972,-0.0636865765681606,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
2017-10-12,97.55999755859376,97.81999969482422,96.80999755859376,96.93000030517578,93.5126495361328,11018200,DIS,1.0805735386382682,1.1483366498353174,1.0343556970813967,1.0112728774332036,0.0693006612050646,0.0496517240119647,-0.0416794038837327,6995000000.0,49637000000.0,41315000000.0,4837000000.0,5299000000.0,95789000000.0,36248000000.0,143000000.0,72606000000.0,10923000000.0,31426000000.0,-67539000000.0,9871000000.0,4017000000.0,19595000000.0,3400000000.0,-3528000000.0,28406000000.0,15889000000.0,3202000000.0,2894000000.0,8633000000.0,19119000000.0,2651000000.0,6305000000.0,-368000000.0,-4111000000.0,3703000000.0,-8959000000.0,-52000000.0,276000000.0,8980000000.0,-696000000.0,31000000.0,12343000000.0,2782000000.0,-71000000.0,-2445000000.0,-5000000.0,107000000.0,-1125000000.0,691000000.0,-3623000000.0,-9368000000.0
