Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days
1997-04-29,4.75,4.75,4.4375,4.4375,4.4375,10600,VSAT,1.6338028169014085,1.9859154929577465,2.028169014084507
1997-04-30,4.4375,4.75,4.4375,4.75,4.75,4400,VSAT,1.5789473684210527,1.894736842105263,1.894736842105263
1997-05-01,4.75,4.75,4.5,4.6875,4.6875,215400,VSAT,1.6266666666666667,1.96,1.9
1997-05-02,4.5625,4.75,4.5,4.5,4.5,42600,VSAT,1.6111111111111112,2.125,1.9027777777777777
1997-05-05,4.75,4.75,4.5,4.75,4.75,6600,VSAT,1.4736842105263157,2.0,1.7763157894736843
1997-05-06,4.625,4.875,4.625,4.75,4.75,93600,VSAT,1.513157894736842,1.9078947368421053,1.868421052631579
1997-05-07,4.875,4.875,4.625,4.6875,4.6875,84200,VSAT,1.5333333333333334,1.88,1.8066666666666666
1997-05-08,4.8125,4.9375,4.6875,4.9375,4.9375,87200,VSAT,1.4303797468354431,1.7341772151898733,1.7468354430379747
1997-05-09,4.9375,5.25,4.875,5.0,5.0,121200,VSAT,1.325,1.825,1.7
1997-05-12,5.25,5.25,4.96875,5.25,5.25,61600,VSAT,1.3095238095238095,1.6428571428571428,1.6428571428571428
1997-05-13,4.875,5.25,4.875,4.875,4.875,11000,VSAT,1.4102564102564104,1.794871794871795,1.7435897435897436
1997-05-14,5.5625,5.625,4.875,5.0,5.0,203600,VSAT,1.4875,1.8,1.7125
1997-05-15,5.0,5.0,4.875,5.0,5.0,116800,VSAT,1.5,1.8125,1.675
1997-05-16,4.8125,5.0,4.8125,4.8125,4.8125,33400,VSAT,1.5064935064935066,1.8831168831168832,1.7142857142857142
1997-05-19,4.8125,5.125,4.8125,5.125,5.125,134400,VSAT,1.4146341463414633,1.853658536585366,1.5731707317073171
1997-05-20,5.25,5.75,5.0,5.5625,5.5625,136600,VSAT,1.303370786516854,1.7078651685393258,1.4382022471910112
1997-05-21,5.5625,5.875,5.4375,5.5,5.5,115200,VSAT,1.4204545454545454,1.6704545454545454,1.4431818181818181
1997-05-22,5.6875,5.6875,5.4375,5.5,5.5,61800,VSAT,1.3011363636363635,1.625,1.3977272727272727
1997-05-23,5.6875,5.6875,5.375,5.5,5.5,36800,VSAT,1.3465909090909092,1.7045454545454546,1.3522727272727273
1997-05-27,5.8125,6.75,5.5625,6.5625,6.5625,342800,VSAT,1.0761904761904761,1.361904761904762,1.1428571428571428
1997-05-28,6.6875,7.4375,6.5,7.25,7.25,621000,VSAT,1.0086206896551724,1.2241379310344827,0.9482758620689655
1997-05-29,7.625,7.625,6.375,7.0,7.0,339200,VSAT,1.0357142857142858,1.2857142857142858,0.9866071428571429
1997-05-30,6.9375,7.5,6.4375,7.25,7.25,136000,VSAT,1.0,1.2672413793103448,0.9698275862068966
1997-06-02,7.375,7.5625,7.0,7.5,7.5,217000,VSAT,0.9375,1.2166666666666666,1.0083333333333333
1997-06-03,7.4375,7.625,7.25,7.625,7.625,196800,VSAT,0.9180327868852459,1.1967213114754098,0.9754098360655737
1997-06-04,7.6875,7.8125,7.0,7.25,7.25,175200,VSAT,0.978448275862069,1.2586206896551724,0.9870689655172413
1997-06-05,7.125,7.4375,7.0,7.0,7.0,78600,VSAT,1.0133928571428572,1.3214285714285714,0.96875
1997-06-06,7.1875,7.1875,7.0,7.1875,7.1875,79600,VSAT,0.8521739130434782,1.2347826086956522,0.9391304347826087
1997-06-09,7.3125,7.375,7.125,7.1875,7.1875,199400,VSAT,0.9391304347826087,1.2782608695652173,0.9217391304347826
