Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Minority Interest,Long Term Investments,Inventory,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,13.428570747375488,13.757575988769531,13.376623153686523,13.610389709472656,13.610389709472656,8877446,NUAN,0.9376590229161166,1.0884224169969747,0.9561068723685368,1.0206479989635429,-0.0829889760474262,-0.0018379717254712,-0.1331863266226661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,13.610389709472656,13.792207717895508,13.445886611938477,13.766234397888184,13.766234397888184,2219564,NUAN,0.9276729392003834,1.066666629719286,0.9459118750936528,1.012478214064533,-0.0848052748641495,-0.0220409260421137,-0.1432190033832809,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-03,13.766234397888184,13.835497856140137,13.636363983154297,13.740260124206545,13.740260124206545,1664702,NUAN,0.970384322779468,1.078134848244762,0.9376181095298508,1.0113391723313174,-0.0409548495518494,-0.0118285267601401,-0.1441825326907213,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-04,13.740260124206545,13.93073558807373,13.636363983154297,13.80086612701416,13.80086612701416,2764955,NUAN,0.9604767574786348,1.092848119551743,0.9447929782464646,1.0126829906128405,-0.0522062331342056,0.0043644325301765,-0.1451663883501994,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-05,13.852813720703123,13.852813720703123,13.662338256835938,13.740260124206545,13.740260124206545,2084198,NUAN,0.962192804170712,1.0913673494331886,0.9710144716296631,1.0121464877707815,-0.0499536836000695,0.0085668737500759,-0.126907277141596,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-06,13.696969985961914,13.904762268066406,13.64502239227295,13.852813720703123,13.852813720703123,2833331,NUAN,0.9350000220298772,1.0706250316679482,0.9568750013768672,1.0081446760609294,-0.0731446540310521,-0.0243181911590879,-0.1436980650588963,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-09,13.818181991577148,13.852813720703123,13.714285850524902,13.757575988769531,13.757575988769531,1116308,NUAN,0.952171183646262,1.0755192202006063,0.9559471099963234,1.0143616235707735,-0.0621904399245115,-0.0281962047520463,-0.1425350361803735,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-10,13.766234397888184,13.922078132629396,13.73160171508789,13.77489185333252,13.77489185333252,1889696,NUAN,0.942174758676964,1.0741672280869712,0.9434318186050824,1.008797349947511,-0.0666225912705469,-0.0186834480569744,-0.1458654940888731,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-11,13.77489185333252,13.80086612701416,13.57575798034668,13.679654121398926,13.679654121398926,2045621,NUAN,0.936075922760745,1.074050639574009,0.94367086194051,1.0091988628593096,-0.0731229400985645,-0.0271815681686973,-0.1444261882524836,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
2017-10-12,13.636363983154297,13.835497856140137,13.636363983154297,13.73160171508789,13.73160171508789,1724184,NUAN,0.9306431140522556,1.0535939257545928,0.9306431140522556,1.0112728774332036,-0.0806297633809479,-0.0450910000687598,-0.1453919869128738,664474000.0,2629245000.0,4000541000.0,1931382000.0,,415014000.0,5931923000.0,294000.0,220000.0,-580027000.0,647730000.0,3590608000.0,-118130000.0,142508000.0,592299000.0,1111528000.0,20705000.0,376121000.0,-101342000.0,176548000.0,1327941000.0,-2323700000.0,251981000.0,395392000.0,2241283000.0,94604000.0,,29844000.0,6088000.0,-158606000.0,51150000.0,-334210000.0,203427000.0,67051000.0,-11301000.0,17383000.0,-150996000.0,110679000.0,-153176000.0,-1029000.0,378867000.0,192099000.0,1147000.0,-15403000.0,-583000.0,301418000.0,-61835000.0
