Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Other Current Liab,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2020-12-16,26.0,30.01000022888184,22.61000061035156,29.46999931335449,29.46999931335449,13459800,UPST,1.8737700206080383,3.809976294380726,4.20393628355149,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-17,28.64299964904785,39.84999847412109,28.25,35.77000045776367,35.77000045776367,7042200,UPST,1.782778854953097,3.4590439411101186,3.4366787456524768,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-18,38.02000045776367,48.65999984741211,37.060001373291016,44.09000015258789,44.09000015258789,7266500,UPST,1.462236357395862,3.2422317181564275,2.832841939070572,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-21,44.0,47.9900016784668,40.0,41.09999847412109,41.09999847412109,2833800,UPST,1.638929516086607,3.2722630288623167,3.01508522553772,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-22,43.09999847412109,48.08000183105469,40.650001525878906,47.84000015258789,47.84000015258789,3727400,UPST,1.347198928567641,2.702341102988134,2.533653818935363,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-23,47.5,51.39799880981445,43.02000045776367,46.31999969482422,46.31999969482422,3142400,UPST,1.3968047792425125,2.7819516722654543,2.5906735921979887,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-24,46.59000015258789,47.470001220703125,42.505001068115234,43.959999084472656,43.959999084472656,873100,UPST,1.4820291829553491,3.2820746538700174,2.670609735461673,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-28,44.310001373291016,45.0,38.04999923706055,42.630001068115234,42.630001068115234,1882200,UPST,1.4588317398195771,3.296270249863112,2.8090545859630778,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-29,42.040000915527344,42.4900016784668,39.5099983215332,40.75,40.75,646400,UPST,1.7239263803680982,3.54110436936829,2.9447852760736195,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
2020-12-30,41.20000076293945,41.5,38.11000061035156,38.869998931884766,38.869998931884766,1049500,UPST,1.9416002905725749,3.2433754350173123,3.3419088620022674,4900000.0,22914000.0,194591000.0,-47333000.0,309804000.0,2000.0,57414000.0,-70249000.0,41656000.0,31431000.0,53234000.0,37506000.0,18064000.0,255409000.0,-52233000.0,144761000.0,100588000.0,6049000.0,9065000.0,0.0,8807000.0,-37982000.0,123364000.0,44319000.0,161340000.0,9669000.0,200685000.0,68514000.0,647000.0,3359000.0,14896000.0,-73000.0,
