Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Change To Netincome,Capital Expenditures,Net Borrowings,Other Cashflows From Financing Activities
2017-09-29,77.08000183105469,77.9800033569336,76.41999816894531,77.86000061035156,77.86000061035156,542500,GWRE,1.0272283936548052,0.9836886172295752,1.056254780620123,1.0206479989635429,0.0065803946912623,-0.1065717714928707,-0.0330384183710799,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-02,77.94000244140625,78.7300033569336,77.04000091552734,77.52999877929688,77.52999877929688,640100,GWRE,1.0051593129392091,0.993679893312466,1.0679737437822352,1.012478214064533,-0.0073189011253238,-0.0950276624489336,-0.0211571346946986,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-03,77.66999816894531,78.1500015258789,77.2699966430664,77.62000274658203,77.62000274658203,708100,GWRE,1.0359443547642777,0.9930430185980492,1.0546250671700246,1.0113391723313174,0.0246051824329602,-0.0969203564068528,-0.0271755750505475,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-04,77.81999969482422,78.0,77.01000213623047,77.38999938964844,77.38999938964844,410900,GWRE,1.046129987375368,0.997544870876021,1.069388845961153,1.0126829906128405,0.0334469967625274,-0.0909388161455454,-0.0205705206355111,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-05,77.4000015258789,77.76000213623047,76.44999694824219,77.47000122070312,77.47000122070312,426100,GWRE,1.0525364609615695,0.9898024925380248,1.106880065171396,1.0121464877707815,0.0403899731907879,-0.0929979831450878,0.0089583164001367,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-06,77.27999877929688,78.29000091552734,76.94000244140625,78.23999786376953,78.23999786376953,550900,GWRE,1.0235174337618074,0.988113492707463,1.1092791830930897,1.0081446760609294,0.0153727577008779,-0.1068297301195732,0.0087061166573261,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-09,77.98999786376953,78.27999877929688,77.30000305175781,77.69999694824219,77.69999694824219,299800,GWRE,1.0401544770801,0.9954955149566578,1.111454362963206,1.0143616235707735,0.0257928535093263,-0.1082199099959948,0.0129722167865091,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-10,77.80000305175781,79.54000091552734,77.80000305175781,78.55999755859375,78.55999755859375,927700,GWRE,1.0095468434738764,0.9604124146257518,1.0911405789793858,1.008797349947511,0.0007494935263654,-0.1324382615181938,0.0018432662854301,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-11,78.69999694824219,79.41999816894531,77.76000213623047,79.37999725341797,79.37999725341797,623900,GWRE,1.011715801679947,0.9528848829280036,1.076593626120249,1.0091988628593096,0.0025169388206374,-0.1483473248147028,-0.0115034240727447,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
2017-10-12,79.37999725341797,79.94000244140625,79.20999908447266,79.63999938964844,79.63999938964844,457500,GWRE,1.0022601746177209,0.9628327585741118,1.054997454633171,1.0112728774332036,-0.0090127028154827,-0.1358521672492408,-0.0210376463319583,71315000.0,828415000.0,190371000.0,888530000.0,,106069000.0,1078901000.0,8000.0,,65903000.0,22004000.0,141851000.0,-5796000.0,46834000.0,263176000.0,168367000.0,37430000.0,-5796000.0,14376000.0,679240000.0,125285000.0,675364000.0,310027000.0,79433000.0,,13416000.0,80918000.0,42864000.0,-113342000.0,13031000.0,4287000.0,5563000.0,18072000.0,39594000.0,1146000.0,138759000.0,18725000.0,-9750000.0,64561000.0,-5886000.0,387239000.0,7468000.0
