Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Capital Surplus,Total Liab,Total Stockholder Equity,Total Assets,Common Stock,Retained Earnings,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Other Current Assets,Other Liab,Short Long Term Debt,Long Term Debt,Other Current Liab,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-05-02,46.0,72.94999694824219,45.0,65.75,65.75,23119000,BYND,1.5727757210967206,2.4523194751812025,1.2013687888025784,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-03,72.0,74.0,65.66000366210938,66.79000091552734,66.79000091552734,13139400,BYND,1.536158063598239,2.500374273257059,1.1970354222536836,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-06,62.72999954223633,74.83999633789062,62.5,74.79000091552734,74.79000091552734,8746200,BYND,1.3303917473190263,2.1754244545605244,1.0267415426596789,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-07,77.13999938964844,85.44999694824219,75.0,79.16999816894531,79.16999816894531,16532100,BYND,1.751294645739556,2.076165200439049,0.9886320380612068,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-08,83.61000061035156,85.37999725341797,70.78500366210938,72.25,72.25,14711800,BYND,2.326643683093642,2.3406228458180145,1.0936332095453072,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-09,70.5,73.19999694824219,67.0999984741211,68.2699966430664,68.2699966430664,6284500,BYND,1.8461990202591891,2.450417482232629,1.1781163653146944,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-10,69.08999633789062,69.33200073242188,61.59999847412109,66.22000122070312,66.22000122070312,4888000,BYND,2.1439142042225967,2.459981741068816,1.2203261260787954,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-13,65.45999908447266,71.95999908447266,63.36000061035156,69.5,69.5,4784500,BYND,2.034388480426596,2.074820099974708,1.147050377276304,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-14,72.4800033569336,80.75,71.12000274658203,79.68000030517578,79.68000030517578,7079600,BYND,1.9011043567691772,1.816892616942637,0.9707580092604072,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
2019-05-15,79.0,93.0,74.55000305175781,86.91999816894531,86.91999816894531,18356200,BYND,1.955361370159236,1.6625632484017507,0.8987575286729892,7921000.0,55959000.0,-121750000.0,133749000.0,1000.0,-129672000.0,,396000.0,54271000.0,25167000.0,,30527000.0,102826000.0,-121750000.0,12626000.0,30257000.0,17247000.0,1000000.0,328000.0,,30388000.0,1918000.0,10455000.0,-23242000.0,25897000.0,76199000.0,4401000.0,2322000.0,-29886000.0,15236000.0,-514000.0,-204000.0,-37721000.0,4921000.0,-59000.0,-22113000.0,-9045000.0,-2852000.0,3437000.0,-23250000.0
