Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-09-13,18.0,19.40999984741211,17.5,18.0,18.0,35993700,NET,0.908888922797309,0.9783333672417536,1.2449999915228949,0.987396678943335,-0.078507756146026,-0.0791995107392917,0.4950873150659636,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-16,18.600000381469727,19.549999237060547,18.299999237060547,18.6299991607666,18.6299991607666,9758100,NET,0.8507783733478987,0.9334406963512102,1.1626409459548697,0.9826616262133095,-0.1318832528654109,-0.1239344638847946,0.3932361182898861,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-17,18.450000762939453,18.89999961853028,18.200000762939453,18.75,18.75,3170900,NET,0.8485333251953125,0.96,1.152000020345052,0.9869791412258752,-0.1384458160305626,-0.100754028511663,0.3397926800358543,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-18,18.82999992370605,19.700000762939453,18.6299991607666,19.59000015258789,19.59000015258789,4702500,NET,0.7805002472056223,0.9249617507960916,1.1209800364177986,0.9867204398181848,-0.2062201926125625,-0.1442353816968123,0.3324978119672281,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-19,20.0,20.479999542236328,18.309999465942383,18.75,18.75,8514900,NET,0.7984000142415365,0.9248000081380208,1.27413330078125,0.995011450677082,-0.1966114364355454,-0.1462903281628833,0.466477661653582,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-20,18.89999961853028,20.0,18.770000457763672,19.8700008392334,19.8700008392334,3598300,NET,0.7357825499781475,0.8731756239895109,1.181680853071479,0.9960398818346244,-0.2602573318564768,-0.202422351072035,0.3843822533582629,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-23,20.09000015258789,21.21999931335449,19.57999992370605,20.959999084472656,20.959999084472656,3524000,NET,0.7027671844293369,0.8196565389119158,1.1507634490834353,0.9976146190139424,-0.2948474345846056,-0.257500361439455,0.395862696486849,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-24,21.51000022888184,22.07999992370605,19.670000076293945,20.709999084472656,20.709999084472656,5008100,NET,0.7648479407449104,0.805890935387388,1.113471776212276,1.0119348901247942,-0.2470869493798838,-0.2824324816848087,0.3412404119582496,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-25,20.8799991607666,21.200000762939453,20.100000381469727,20.520000457763672,20.520000457763672,2624900,NET,0.7880116820453618,0.8386938937889405,1.173489248856009,1.0097773436008184,-0.2217656615554566,-0.2376991139172757,0.4222999964707872,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
2019-09-26,20.520000457763672,20.61000061035156,18.709999084472656,19.549999237060547,19.549999237060547,3126200,NET,0.8199489162259277,0.8726342778368031,1.2092071770946446,1.0188342190622592,-0.1988853028363315,-0.213112036988471,0.393933539347625,156000.0,82345000.0,80364000.0,-113505000.0,15940000.0,21369000.0,298380000.0,85000.0,1157000.0,-195878000.0,8542000.0,4083000.0,-57000.0,24243000.0,25055000.0,61379000.0,-57000.0,73161000.0,196737000.0,-117744000.0,138237000.0,26707000.0,,14285000.0,255000.0,-86020000.0,9289000.0,-120795000.0,-226000.0,168621000.0,-8279000.0,18937000.0,-87164000.0,4545000.0,-65000.0,-43281000.0,15105000.0,64000.0,-12600000.0,-25000.0,29508000.0,-25466000.0
