Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,83.62000274658203,83.98999786376953,82.75,83.08999633789062,78.54203033447266,591300,WLK,1.0219039752741736,1.3159495004255115,1.3059923002806988,1.0206479989635429,0.0012559763106307,0.2256891117030655,0.2166991012894958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,82.94000244140625,84.83999633789062,82.94000244140625,84.7699966430664,80.13008117675781,588200,WLK,1.0136840521727042,1.3098502210360847,1.2901780571104309,1.012478214064533,0.0012058381081712,0.221142665274685,0.201047178633497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,84.80999755859375,85.18000030517578,84.19999694824219,84.97000122070312,80.31914520263672,639100,WLK,1.0076496132875985,1.316792512171113,1.2835958387821107,1.0113391723313174,-0.0036895590437189,0.226829137166211,0.2017951965615385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,85.36000061035156,85.36000061035156,83.66999816894531,83.77999877929688,79.19425964355469,618800,WLK,1.0237527396039556,1.3337021141312986,1.3223227988034856,1.0126829906128405,0.0110697489911151,0.2452184271097321,0.2323634322068215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,84.25,85.01000213623047,83.56999969482422,84.91999816894531,80.27185821533203,855100,WLK,1.0129534178601636,1.3036420177442285,1.3192336794186854,1.0121464877707815,0.000806930089382,0.2208415420611158,0.2213119306474262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,84.0,84.63999938964844,83.4000015258789,84.52999877929688,79.90321350097656,672400,WLK,1.083875756057868,1.3427358576861006,1.3615505819972245,1.0081446760609294,0.0757310799969386,0.2477926348590644,0.2609775155614608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,85.0999984741211,85.16999816894531,84.5,84.72000122070312,80.08281707763672,390300,WLK,1.1089469319394871,1.3478871045570406,1.3375186190976804,1.0143616235707735,0.0945853083687136,0.244171679604388,0.2390364729209835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,85.55000305175781,85.55000305175781,84.19000244140625,84.29000091552734,79.67636108398438,465800,WLK,1.1080791202814426,1.312671903816212,1.309795046412355,1.008797349947511,0.0992817703339317,0.2198212276722664,0.2204977337183993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,84.30999755859375,84.56999969482422,83.58000183105469,84.5,79.8748550415039,293700,WLK,1.1004735056794797,1.2900770314738528,1.3216316914209725,1.0091988628593096,0.09127464282017,0.1888448237311464,0.2335346412279788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,84.08999633789062,84.87999725341797,83.62000274658203,84.48999786376953,79.86541748046875,356100,WLK,1.111965567838351,1.2812144874151232,1.2847081424362734,1.0112728774332036,0.1006926904051475,0.1825295615917705,0.2086730414711439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
