,2021-04-30,2020-04-30,2019-04-30
Investments,-765524000.0,-121194000.0,-89417000.0
Change To Liabilities,22383000.0,-32149000.0,37303000.0
Total Cashflows From Investing Activities,-767152000.0,-124073000.0,-96228000.0
Net Borrowings,26003000.0,26003000.0,26003000.0
Total Cash From Financing Activities,887356000.0,119851000.0,54472000.0
Change To Operating Activities,1278000.0,-5445000.0,1960000.0
Issuance Of Stock,868532000.0,48230000.0,2905000.0
Net Income,-55696000.0,-69378000.0,-33346000.0
Change In Cash,82651000.0,-65503000.0,-76632000.0
Total Cash From Operating Activities,-37553000.0,-61281000.0,-34876000.0
Depreciation,4297000.0,1302000.0,550000.0
Change To Account Receivables,-34690000.0,32659000.0,-46144000.0
Other Cashflows From Financing Activities,-7179000.0,-164000.0,-164000.0
Change To Netincome,24875000.0,11730000.0,4801000.0
Capital Expenditures,-1628000.0,-2298000.0,-6811000.0
Repurchase Of Stock,,-3548000.0,-3548000.0
