Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Short Term Investments,Net Receivables,Accounts Payable,Intangible Assets,Deferred Long Term Liab,Other Current Assets,Long Term Investments,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-12-09,100.0,115.0,90.02999877929688,92.48999786376952,92.48999786376952,24805600,AI,1.448589023916738,0.8710130762166551,0.6259055111550099,1.0711936781318203,0.3773953457849177,-0.2962848369078258,-0.5741854545239639,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-10,99.4800033569336,131.74600219726562,96.0,130.0,130.0,22839500,AI,1.1010769183819111,0.5831538273737981,0.4653077052189753,1.062316503263218,0.0387604151186931,-0.5597882587635704,-0.7338151219366635,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-11,123.81999969482422,133.0,116.0,119.58000183105467,119.58000183105467,11758600,AI,1.1582204204652542,0.6231810963538029,0.5155544454078486,1.073775639924845,0.0844447805404091,-0.527043502092037,-0.6895456339936762,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-14,122.16000366210938,123.83000183105467,100.66000366210938,102.36000061035156,102.36000061035156,8197500,AI,1.3105704679227788,0.7332942273449246,0.6045330275413986,1.0697624410001334,0.2408080269226453,-0.4226959940852619,-0.616924994387202,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-15,104.56999969482422,109.88999938964844,98.0999984741211,102.0,102.0,5715300,AI,1.243431390500536,0.6912745307473576,0.6289215835870481,1.0593177594136232,0.1841136310869129,-0.4198166182196681,-0.5821478100451598,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-16,105.0,116.70999908447266,104.0,113.69000244140624,113.69000244140624,5365700,AI,1.1555985756137472,0.5675080944458493,0.5841323092268899,1.0685424132795076,0.0870561623342396,-0.5329597235377412,-0.6235506885348133,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-17,118.44000244140624,121.0,115.4499969482422,117.23999786376952,117.23999786376952,3414800,AI,1.1089218430207146,0.5705390703552661,0.5494711646429747,1.0520021356846316,0.0569197073360829,-0.5379080280544496,-0.6438944465515805,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-18,116.66999816894533,145.0,115.08999633789062,137.58999633789062,137.58999633789062,8486400,AI,0.9199069922496128,0.4702376529566386,0.4544661708234734,1.0541479277304715,-0.1342409354808589,-0.6584274186489603,-0.7420658618816363,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-21,142.01400756835938,168.77000427246094,141.0,160.88999938964844,160.88999938964844,11570200,AI,0.9188265423075512,0.3854186000172419,0.3965442195232266,1.057296658195766,-0.1384701158882146,-0.734970995775124,-0.8115892593549513,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
2020-12-22,170.52999877929688,179.0,163.3000030517578,177.47000122070312,177.47000122070312,8283300,AI,0.7969233769255333,0.3554967020827855,0.3410717212089342,1.051384072668894,-0.2544606957433608,-0.7698981849806679,-0.8644670462410367,110333000.0,93798000.0,-182697000.0,53537000.0,305108000.0,183000.0,-293637000.0,7112000.0,625000.0,424000.0,13421591.0,33104000.0,81039000.0,424000.0,8731409.0,281205000.0,-183722000.0,211874000.0,,4726000.0,400000.0,1200000.0,31727000.0,725000.0,-121194000.0,-32149000.0,-124073000.0,26003000.0,119851000.0,-5445000.0,48230000.0,-69378000.0,-65503000.0,-61281000.0,1302000.0,32659000.0,-164000.0,11730000.0,-2298000.0,-3548000.0
