Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Term Investments,Deferred Long Term Liab,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures,Investments,Effect Of Exchange Rate,Other Cashflows From Financing Activities
2017-09-29,26.739999771118164,29.799999237060547,25.46999931335449,26.540000915527344,26.540000915527344,44294700,ROKU,0.7678974550766949,1.9306706823995847,1.2061038891225362,1.0206479989635429,-0.2527505438868479,0.8404102936771392,0.1168106901313332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,25.200000762939453,26.280000686645508,23.26000022888184,23.559999465942383,23.559999465942383,16008400,ROKU,0.8404074569561354,1.9643463424605687,1.429966018267964,1.012478214064533,-0.1720707571083976,0.8756387866991691,0.3408351397910303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,23.01000022888184,23.020000457763672,20.770000457763672,20.809999465942383,20.809999465942383,13678500,ROKU,0.9490629748608512,2.281114965831329,1.5708793592334969,1.0113391723313174,-0.0622761974704662,1.1911515908264267,0.4890787170129247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,21.290000915527344,22.600000381469727,20.81999969482422,20.850000381469727,20.850000381469727,9345700,ROKU,0.937649826348946,2.1453236798014528,1.5836930385435355,1.0126829906128405,-0.0750331642638945,1.0568399927798864,0.4937336719468714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,21.39999961853028,22.200000762939453,21.350000381469727,22.01000022888184,22.01000022888184,6361600,ROKU,0.878691501657036,2.031349323922476,1.634711456977763,1.0121464877707815,-0.1334549861137455,0.9485488482393634,0.5367897082065038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,22.479999542236328,23.3700008392334,22.0,23.200000762939453,23.200000762939453,7058800,ROKU,0.8245689022271747,1.8909481676381807,1.367241304751386,1.0081446760609294,-0.1835757738337546,0.7960049448111446,0.2666682383156225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,23.850000381469727,25.350000381469727,23.559999465942383,24.540000915527344,24.540000915527344,7740800,ROKU,0.7677261389451352,1.7677261389451353,1.3325183187849428,1.0143616235707735,-0.2466354846256383,0.6640107139924827,0.2340361726082458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,25.190000534057617,25.600000381469727,22.700000762939453,22.93000030517578,22.93000030517578,7479300,ROKU,1.2730048035572343,1.7091146142664015,1.4204099110924342,1.008797349947511,0.2642074536097234,0.616263938122456,0.3311125983984786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,23.809999465942383,24.32999992370605,23.200000762939453,23.65999984741211,23.65999984741211,5449300,ROKU,1.4053254528501964,1.7557058826469485,1.363905353587452,1.0091988628593096,0.3961265899908868,0.6544736749042421,0.2758083033944583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,23.670000076293945,24.32999992370605,23.450000762939453,23.6299991607666,23.6299991607666,3545900,ROKU,1.807448184568072,1.7249259318302437,1.371138496681512,1.0112728774332036,0.7961753071348685,0.626241006006891,0.2951033957163826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
