,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,10729000.0,-54000.0,1851000.0
Total Cashflows From Investing Activities,-3246000.0,-3223000.0,-867000.0
Net Borrowings,-10000000.0,6063000.0,14920000.0
Total Cash From Financing Activities,296578000.0,31168000.0,33330000.0
Change To Operating Activities,4540000.0,1284000.0,565000.0
Issuance Of Stock,248109000.0,197000.0,192000.0
Net Income,-122461000.0,-23605000.0,-27780000.0
Change In Cash,237100000.0,6008000.0,15515000.0
Repurchase Of Stock,-14743000.0,-14743000.0,-14743000.0
Total Cash From Operating Activities,-56232000.0,-21937000.0,-16948000.0
Depreciation,1609000.0,711000.0,404000.0
Other Cashflows From Financing Activities,-2194000.0,-2194000.0,-2194000.0
Change To Netincome,48793000.0,-2412000.0,6725000.0
Capital Expenditures,-3246000.0,-3223000.0,-867000.0
