Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Accounts Payable,Deferred Long Term Liab,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Repurchase Of Stock
2020-04-27,9.949999809265137,9.949999809265137,9.859999656677246,9.899999618530272,9.899999618530272,176100,SKLZ,1.0303030507368245,1.1040404774074546,1.1191919546104956,1.0982745432715075,-0.067971492534683,-0.0897606009271738,-0.1361156413120652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-28,9.928000450134276,9.960000038146973,9.8100004196167,9.899999618530272,9.899999618530272,1229900,SKLZ,1.0353535752480856,1.06969702632777,1.1515151573533784,1.0867168009353638,-0.0513632256872782,-0.1094616402733661,-0.118606671924158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-29,9.899999618530272,9.970000267028809,9.899999618530272,9.899999618530272,9.899999618530272,9200,SKLZ,1.0353535752480856,1.0626263498104502,1.1747475315728828,1.062179364256442,-0.0268257890083563,-0.0867938771636278,-0.0568131822285877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-04-30,9.899999618530272,9.899999618530272,9.850000381469728,9.850000381469728,9.850000381469728,83000,SKLZ,1.0406090967552415,1.0812181935104834,1.260913664496807,1.1015967726975993,-0.0609876759423577,-0.1039621655306355,-0.0372674209051129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-01,9.899999618530272,9.899999618530272,9.829999923706056,9.850000381469728,9.850000381469728,255900,SKLZ,1.0406090967552415,1.0822334451342956,1.2385786128715623,1.1717589994825794,-0.1311499027273379,-0.1599869336562656,-0.1043546417893901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-04,9.880000114440918,9.880000114440918,9.829999923706056,9.84000015258789,9.84000015258789,213500,SKLZ,1.0416666505136467,1.0965446945664212,1.2296748164467726,1.1726715956239289,-0.1310049451102821,-0.1397915770002147,-0.1442171013600168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-05,9.880000114440918,9.880000114440918,9.842000007629396,9.842000007629396,9.842000007629396,789700,SKLZ,1.0414549880160868,1.0770169044150315,1.2253607407303329,1.199456117160557,-0.15800112914447,-0.1558699269015777,-0.1441346849572728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-06,10.039999961853027,10.039999961853027,9.857000350952148,9.857000350952148,9.857000350952148,1600,SKLZ,1.0388555753809037,1.0895809464063495,1.2184234352514471,1.241846991780565,-0.2029914163996613,-0.164834183223872,-0.1673944073157369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-07,9.869999885559082,9.869999885559082,9.84000015258789,9.859999656677246,9.859999656677246,156600,SKLZ,1.043610580136743,1.0862069382420416,1.2180528039621783,1.1857653446877672,-0.1421547645510241,-0.1361417980235253,-0.117598935095863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-08,9.850000381469728,10.0,9.850000381469728,10.0,10.0,349600,SKLZ,1.05,1.0899999618530272,1.26899995803833,1.1243771196277146,-0.0743771196277145,-0.1021028036965092,-0.05379275092556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-11,10.100000381469728,10.100000381469728,9.949999809265137,9.949999809265137,9.949999809265137,721500,SKLZ,1.0452261123508877,1.1045226112350888,1.2773869629938894,1.0573369744033387,-0.012110862052451,-0.095942668021081,-0.0832769835412641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-12,10.59000015258789,10.59000015258789,9.970000267028809,10.050000190734863,10.050000190734863,110700,SKLZ,1.0398009563123227,1.081592007886744,1.3164178399153783,1.114546628139541,-0.0747456718272183,-0.1544941436220339,-0.0847464223203269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-13,10.399999618530272,10.399999618530272,10.06999969482422,10.149999618530272,10.149999618530272,248100,SKLZ,1.034482797499889,1.0729064780890736,1.349753726517766,1.1712625506774148,-0.1367797531775259,-0.2086275494098481,-0.0902642053098872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-14,10.68000030517578,10.68000030517578,10.140000343322754,10.164999961853027,10.164999961853027,303700,SKLZ,1.031972435856841,1.0516477737826344,1.3743236910432952,1.1765211541107627,-0.1445487182539218,-0.2041479159073866,-0.0532139407132024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,10.239999771118164,10.25,10.18000030517578,10.187000274658203,10.187000274658203,192500,SKLZ,1.0366153072447042,1.016982367463895,1.3291449491305058,1.1588394452292876,-0.1222241379845834,-0.2268325924539702,-0.089617906678189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,10.170000076293944,10.329999923706056,10.145000457763672,10.199999809265137,10.199999809265137,1123000,SKLZ,1.030392198569956,1.034313763530839,1.302941197095033,1.0963411429637036,-0.0659489443937475,-0.1390661524360341,-0.0613708397147625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,10.220000267028809,10.25,10.0,10.199999809265137,10.199999809265137,170200,SKLZ,1.0323529343016555,1.0392157431063138,1.2735294131396688,1.1004426756785022,-0.0680897413768466,-0.1441018745164621,-0.1298991943025358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
