Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Accounts Payable,Long Term Debt,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Total Cash From Operating Activities,Depreciation,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-04-27,9.949999809265137,9.949999809265137,9.859999656677246,9.899999618530272,9.899999618530272,176100,SKLZ,1.0303030507368245,1.1040404774074546,1.1191919546104956,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-04-28,9.928000450134276,9.960000038146973,9.8100004196167,9.899999618530272,9.899999618530272,1229900,SKLZ,1.0353535752480856,1.06969702632777,1.1515151573533784,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-04-29,9.899999618530272,9.970000267028809,9.899999618530272,9.899999618530272,9.899999618530272,9200,SKLZ,1.0353535752480856,1.0626263498104502,1.1747475315728828,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-04-30,9.899999618530272,9.899999618530272,9.850000381469728,9.850000381469728,9.850000381469728,83000,SKLZ,1.0406090967552415,1.0812181935104834,1.260913664496807,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-05-01,9.899999618530272,9.899999618530272,9.829999923706056,9.850000381469728,9.850000381469728,255900,SKLZ,1.0406090967552415,1.0822334451342956,1.2385786128715623,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-05-04,9.880000114440918,9.880000114440918,9.829999923706056,9.84000015258789,9.84000015258789,213500,SKLZ,1.0416666505136467,1.0965446945664212,1.2296748164467726,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-05-05,9.880000114440918,9.880000114440918,9.842000007629396,9.842000007629396,9.842000007629396,789700,SKLZ,1.0414549880160868,1.0770169044150315,1.2253607407303329,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-05-06,10.039999961853027,10.039999961853027,9.857000350952148,9.857000350952148,9.857000350952148,1600,SKLZ,1.0388555753809037,1.0895809464063495,1.2184234352514471,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-05-07,9.869999885559082,9.869999885559082,9.84000015258789,9.859999656677246,9.859999656677246,156600,SKLZ,1.043610580136743,1.0862069382420416,1.2180528039621783,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
2020-05-08,9.850000381469728,10.0,9.850000381469728,10.0,10.0,349600,SKLZ,1.05,1.0899999618530272,1.26899995803833,108892000.0,20191000.0,18665000.0,1958000.0,38856000.0,29000.0,7004000.0,-90256000.0,82000.0,116000.0,25628000.0,10481000.0,3648000.0,35092000.0,18665000.0,2944000.0,9628000.0,,-54000.0,-3223000.0,6063000.0,31168000.0,1284000.0,197000.0,-23605000.0,6008000.0,-14743000.0,-21937000.0,711000.0,-2194000.0,-2412000.0,-3223000.0
