Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Inventory,Accounts Payable,Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
1981-06-09,0.0,3.0,2.875,2.875,2.2794830799102783,27300,RGLD,0.9130434600707364,1.2173910360433622,2.4782608650176843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-10,0.0,2.875,2.75,2.75,2.180375814437866,13700,RGLD,0.954545131473384,1.363635995831237,2.54545317364083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-11,0.0,2.875,2.75,2.75,2.180375814437866,12400,RGLD,0.909090372294238,1.3181813459995613,2.590908260862386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-12,0.0,2.875,2.875,2.875,2.2794830799102783,38700,RGLD,0.8695649809195737,1.2608695151945253,2.8695647717330424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-15,0.0,2.875,2.875,2.875,2.2794830799102783,38800,RGLD,0.9130434600707364,1.2173910360433622,2.7391302756189435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-16,0.0,2.875,2.75,2.75,2.180375814437866,55100,RGLD,1.0,1.2272722650311492,2.863635285072682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-17,0.0,2.875,2.75,2.75,2.180375814437866,29800,RGLD,1.136363512105148,1.272726586820415,2.77272642279921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-18,0.0,2.875,2.875,2.875,2.2794830799102783,25100,RGLD,1.086956749115795,1.2173910360433622,2.391304534274952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-19,0.0,2.875,2.875,2.875,2.2794830799102783,8900,RGLD,1.2173910360433622,1.1304347053006298,2.26086941060126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-22,0.0,2.875,2.75,2.75,2.180375814437866,18000,RGLD,1.3181813459995613,1.1818177245469434,2.2272721556836794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981-06-23,0.0,2.875,2.75,2.75,2.180375814437866,171200,RGLD,1.4545449674521789,1.136363512105148,2.3181805805672706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
