Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,80.5999984741211,81.30000305175781,80.56999969482422,80.81999969482422,75.67729187011719,396100,BR,1.0631032382333447,1.1360369321074515,1.3367120084797384,1.0206479989635429,0.0424552392698018,0.0457765433850054,0.2474188094885354,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-02,80.76000213623047,81.19000244140625,80.69999694824219,81.0999984741211,75.9394760131836,420800,BR,1.0655979747504882,1.145981343921996,1.3317240229831822,1.012478214064533,0.0531197606859552,0.0572737881605962,0.2425931445062483,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-03,81.20999908447266,82.0999984741211,80.7300033569336,81.70999908447266,76.51065826416016,709000,BR,1.055684727531447,1.1444306447535777,1.3196863309768605,1.0113391723313174,0.0443455552001295,0.0544672697486756,0.2378856887562883,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-04,81.87000274658203,81.87000274658203,81.4000015258789,81.70999908447266,76.51065826416016,396200,BR,1.0627829649879517,1.1466426615199523,1.352730768252778,1.0126829906128405,0.0500999743751111,0.0581589744983859,0.262771401656114,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-05,81.5999984741211,81.83000183105469,81.45999908447266,81.69000244140625,76.49193572998047,611400,BR,1.0669603312443876,1.142867444694274,1.3827847353333365,1.0121464877707815,0.054813843473606,0.0600669690111612,0.2848629865620773,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-06,81.6500015258789,81.80999755859375,81.29000091552734,81.68000030517578,76.48255157470703,351100,BR,1.0696623876115854,1.148784888876209,1.3777737056223311,1.0081446760609294,0.0615177115506559,0.0538416660491729,0.2772006391865675,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-09,81.7300033569336,82.33000183105469,81.69000244140625,82.11000061035156,76.88520812988281,333700,BR,1.1019364131850982,1.1499836566576347,1.361478414582667,1.0143616235707735,0.0875747896143246,0.046268231704982,0.2629962684059701,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-10,82.4000015258789,82.54000091552734,81.7300033569336,81.94999694824219,76.7353744506836,378200,BR,1.07175115499233,1.1525968896561385,1.3504903976084772,1.008797349947511,0.062953805044819,0.0597462135121928,0.2611930849145216,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-11,82.0,82.2699966430664,81.70999908447266,82.0,76.7822036743164,401000,BR,1.0786586085031624,1.1654858402680366,1.3491752829417576,1.0091988628593096,0.0694597456438528,0.0642536325253302,0.2610782327487639,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
2017-10-12,82.0,82.7699966430664,81.80000305175781,82.20999908447266,76.97885131835938,417500,BR,1.065320504764627,1.161897810971348,1.3332285407440327,1.0112728774332036,0.0540476273314234,0.0632128851479953,0.2571934397789033,486400000.0,987600000.0,2146000000.0,1003800000.0,202500000.0,277000000.0,3149800000.0,1600000.0,111700000.0,1469400000.0,299000000.0,1159300000.0,-1454800000.0,253000000.0,271100000.0,744900000.0,2700000.0,,-55900000.0,198100000.0,989600000.0,63400000.0,-641900000.0,100000.0,589500000.0,1102100000.0,17200000.0,167200000.0,130900000.0,-659300000.0,85000000.0,-311700000.0,-61900000.0,60900000.0,326800000.0,-456700000.0,-342800000.0,-1600000.0,515900000.0,182200000.0,-6900000.0,-152200000.0,-44400000.0,37400000.0,-17700000.0,-85400000.0
