,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,-27767000.0,-250000.0,-43442000.0
Total Cashflows From Investing Activities,-51222000.0,-160557000.0,-5051414000.0
Net Borrowings,-65873000.0,85376000.0,1117762000.0
Total Cash From Financing Activities,-75469000.0,72677000.0,3267283000.0
Change To Operating Activities,190848000.0,38800000.0,-129259000.0
Net Income,-126715000.0,-110198000.0,-39711000.0
Change In Cash,381491000.0,185411000.0,-1825280000.0
Effect Of Exchange Rate,99073000.0,-15756000.0,-13859000.0
Total Cash From Operating Activities,409109000.0,289047000.0,-27290000.0
Depreciation,268166000.0,257708000.0,234256000.0
Change To Account Receivables,-46493000.0,-30955000.0,-47722000.0
Other Cashflows From Financing Activities,-9596000.0,-12699000.0,-40437000.0
Change To Netincome,149920000.0,147546000.0,-17274000.0
Capital Expenditures,-5386000.0,-9657000.0,-13434000.0
Issuance Of Stock,,,2189958000.0
Other Cashflows From Investing Activities,,,-733603000.0
