,2021-07-03,2021-04-03,2020-12-31,2020-09-26
Investments,-77716000.0,-119501000.0,13392000.0,-5915000.0
Change To Liabilities,-2987000.0,59290000.0,72897000.0,6502000.0
Total Cashflows From Investing Activities,-122102000.0,-159004000.0,-37533000.0,-34226000.0
Net Borrowings,-100000000.0,350000000.0,-215000000.0,-125000000.0
Total Cash From Financing Activities,-236966000.0,188775000.0,-172534000.0,-108602000.0
Change To Operating Activities,-55974000.0,-8862000.0,-37900000.0,-31966000.0
Issuance Of Stock,28741000.0,16295000.0,37612000.0,13682000.0
Net Income,167292000.0,148127000.0,218311000.0,126769000.0
Change In Cash,-223727000.0,247088000.0,61761000.0,35898000.0
Repurchase Of Stock,-168202000.0,-173305000.0,-56000.0,-56000.0
Effect Of Exchange Rate,-7699000.0,-1087000.0,4346000.0,6147000.0
Total Cash From Operating Activities,143040000.0,218404000.0,267482000.0,172579000.0
Depreciation,33387000.0,31356000.0,34270000.0,30888000.0
Change To Inventory,-20329000.0,-30544000.0,27079000.0,18950000.0
Change To Account Receivables,11040000.0,7945000.0,-59488000.0,9977000.0
Other Cashflows From Financing Activities,2495000.0,-4215000.0,4910000.0,2772000.0
Change To Netincome,10611000.0,11092000.0,12313000.0,11459000.0
Capital Expenditures,-37386000.0,-39503000.0,-47044000.0,-28311000.0
