,2021-06-26,2021-03-27,2020-12-26,2020-09-26
Investments,16137000.0,-50560000.0,-32454000.0,-114492000.0
Change To Liabilities,48295000.0,-11468000.0,9323000.0,37677000.0
Total Cashflows From Investing Activities,-93913000.0,-104107000.0,-81193000.0,-294269000.0
Total Cash From Financing Activities,-99452000.0,-116279000.0,-129913000.0,-117716000.0
Change To Operating Activities,44949000.0,-105742000.0,101507000.0,25809000.0
Issuance Of Stock,18076000.0,17657000.0,17657000.0,17657000.0
Net Income,316997000.0,220029000.0,333548000.0,313417000.0
Change In Cash,39984000.0,141488000.0,234939000.0,-131398000.0
Repurchase Of Stock,-323000.0,-17281000.0,-13257000.0,-1191000.0
Effect Of Exchange Rate,3669000.0,-6488000.0,10227000.0,6249000.0
Total Cash From Operating Activities,229680000.0,368362000.0,435818000.0,274338000.0
Depreciation,37789000.0,36890000.0,36605000.0,32578000.0
Dividends Paid,-117205000.0,-116655000.0,-116656000.0,-116525000.0
Change To Inventory,-89743000.0,-87450000.0,84789000.0,1063000.0
Change To Account Receivables,-177596000.0,281524000.0,-168333000.0,-118646000.0
Change To Netincome,32272000.0,30627000.0,5631000.0,22825000.0
Capital Expenditures,-109648000.0,-36894000.0,-48329000.0,-38802000.0
