Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Deferred Long Term Liab,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2017-09-29,130.8699951171875,131.74000549316406,130.3800048828125,131.67999267578125,123.03305053710938,455300,LHX,1.058019415375785,1.0860920138100834,1.2388197384279531,1.0206479989635429,0.037371416412242,-0.0041683749123626,0.1495265394367502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,131.82000732421875,132.8300018310547,131.52000427246094,132.80999755859375,124.08883666992188,499200,LHX,1.0326782653733526,1.0867555568016176,1.2351090455992324,1.012478214064533,0.0202000513088196,-0.001951998959782,0.1459781671222986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,133.0,133.8000030517578,132.25,133.30999755859375,124.55601501464844,491200,LHX,1.0284300817981054,1.1027150512507622,1.22238767262088,1.0113391723313174,0.0170909094667879,0.0127516762458601,0.1405870304003078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,133.00999450683594,134.00999450683594,132.58999633789062,134.0,125.20067596435548,412900,LHX,1.0403734775646738,1.091192283286908,1.2423418385388738,1.0126829906128405,0.0276904869518332,0.0027085962653417,0.1523824719422097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,134.13999938964844,135.0,134.0,134.7899932861328,125.93881225585938,411200,LHX,1.0311596522504445,1.081295557801599,1.2483697270717993,1.0121464877707815,0.0190131644796629,-0.0015049178815136,0.1504479783005401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,134.4600067138672,135.75,134.19000244140625,135.66000366210938,126.7516860961914,419700,LHX,1.02734765987161,1.0754712540577456,1.2501702069696286,1.0081446760609294,0.0192029838106806,-0.0194719687692905,0.1495971405338649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,136.0,136.2100067138672,135.5500030517578,135.8800048828125,126.95726776123048,425000,LHX,1.0398142656763063,1.0878443089266978,1.252447591403718,1.0143616235707735,0.0254526421055327,-0.0158711160259548,0.1539654452270211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,136.41000366210938,136.6300048828125,135.5399932861328,136.07000732421875,127.13478088378906,491100,LHX,1.010950076843171,1.075698654749424,1.2443292380313986,1.008797349947511,0.00215272689566,-0.0171520213945215,0.155031925337443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,136.1199951171875,136.4499969482422,135.63999938964844,136.0,127.0693817138672,466400,LHX,1.020294036026384,1.089837563413984,1.252380062056153,1.0091988628593096,0.0110951731670743,-0.0113946443287222,0.1642830118631593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,135.80999755859375,136.8300018310547,135.80999755859375,136.6199951171875,127.64866638183594,414100,LHX,1.0172009529999284,1.0711481793916813,1.2158611061536295,1.0112728774332036,0.0059280755667248,-0.0275367464316713,0.1398260051885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
