Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2020-11-24,80.0,80.0,80.0,80.0,79.89146423339844,1000,CNXC,1.241250040347479,1.528125010146555,1.844999978035692,1104497000.0,3447191000.0,1319802000.0,30375000.0,4766993000.0,1359001000.0,179474000.0,434496000.0,1775541000.0,-39199000.0,168812000.0,123389000.0,3012695000.0,71347000.0,,-39199000.0,419603000.0,1298540000.0,-1560236000.0,995677000.0,,136645000.0,-28138000.0,-1150973000.0,951221000.0,951221000.0,51349000.0,48271000.0,125000.0,-12446000.0,212323000.0,154598000.0,-30466000.0,-8488000.0,-8521000.0,-5269000.0,-92518000.0,13880000.0
2020-11-25,80.0,80.0,80.0,80.0,79.89146423339844,0,CNXC,1.2337498975794758,1.650999939454907,1.8624999928377253,934123000.0,3183914000.0,1469841000.0,18313000.0,4653755000.0,1519923000.0,203696000.0,485606000.0,1829328000.0,-50082000.0,179234000.0,79656000.0,2698308000.0,64879000.0,,-50082000.0,411465000.0,1299605000.0,-1293610000.0,1016253000.0,,192045000.0,-4998000.0,-151014000.0,-339639000.0,-339639000.0,-12049000.0,117164000.0,-44370000.0,-3453000.0,449736000.0,305780000.0,-30466000.0,6286000.0,-8521000.0,37553000.0,-111122000.0,
2020-12-01,80.0,114.0,80.0,105.0,104.8575439453125,1633700,CNXC,0.9494285750873404,1.2770476592940805,1.4639999976716924,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
2020-12-02,97.3000030517578,107.4000015258789,96.01000213623048,99.94000244140624,99.80441284179688,603900,CNXC,1.0023013303302266,1.358214965733455,1.5222133989483215,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
2020-12-03,100.0,105.5,99.98999786376952,101.7300033569336,101.59198760986328,488300,CNXC,0.99488835310361,1.3877910297228155,1.4874668675298226,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
2020-12-04,101.79000091552734,103.91000366210938,99.7699966430664,101.20999908447266,101.07268524169922,818500,CNXC,1.0163027835793703,1.375358125527116,1.510819117953103,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
2020-12-07,101.47000122070312,116.77999877929688,99.0,115.13999938964844,114.9837875366211,418300,CNXC,0.9541427979474698,1.2179955683555772,1.3448845825021374,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
2020-12-08,114.9800033569336,114.9800033569336,103.77999877929688,104.37000274658205,104.22840118408205,471300,CNXC,1.0711890597064362,1.3645683374904154,1.534061490657087,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
2020-12-09,103.9499969482422,106.91999816894533,101.2300033569336,102.76000213623048,102.6205825805664,299300,CNXC,1.1531724220736712,1.350233538291916,1.516154158691546,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
2020-12-10,104.30999755859376,104.30999755859376,100.1999969482422,100.73999786376952,100.60332489013672,242000,CNXC,1.188207226617911,1.3370061410046004,1.5396068898587691,798959000.0,2875471000.0,2302085000.0,49765000.0,5177556000.0,2305899000.0,189239000.0,381803000.0,1836050000.0,-3814000.0,161154000.0,152656000.0,1008662000.0,47423000.0,33750000.0,-3814000.0,958017000.0,1423376000.0,-332924000.0,1081481000.0,1111362000.0,140575000.0,36557000.0,-109216000.0,-326703000.0,-335224000.0,140188000.0,164811000.0,72837000.0,9663000.0,507614000.0,276566000.0,67676000.0,-139172000.0,-8521000.0,28664000.0,-171332000.0,
