Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Retained Earnings,Good Will,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Other Liab,Short Long Term Debt,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2019-06-20,31.0,31.5,28.0,28.51000022888184,28.51000022888184,13395500,GO,1.2925288733175972,1.32549984609416,1.173974077586874,1.01821240149517,0.2743164718224271,0.3201812414596774,0.0822361952337431,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-06-21,29.739999771118164,29.89999961853028,27.8799991607666,28.600000381469727,28.600000381469727,1773000,GO,1.3409090196714997,1.2555943835119183,1.1639860304720948,1.0334902234173289,0.307418796254171,0.2383953991147462,0.0713546538113241,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-06-24,28.61000061035156,30.38999938964844,27.75,29.989999771118164,29.989999771118164,1085400,GO,1.272424146003564,1.1907302219742972,1.082027376145244,1.0339344217234232,0.2384897242801407,0.1708436979390004,-0.0216795792748756,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-06-25,29.89999961853028,31.292999267578125,29.599000930786133,30.690000534057617,30.690000534057617,788900,GO,1.270446432061753,1.1195829264395494,1.0423590490204748,1.0504564498504023,0.2199899822113507,0.0991588227338764,-0.0748728602658972,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-06-26,31.489999771118164,35.630001068115234,31.040000915527344,32.97999954223633,32.97999954223633,2939200,GO,1.184657375291611,1.0515464156014411,0.9721043607727434,1.0472753859585069,0.1373819893331043,0.0235452184568607,-0.1413533847211411,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-06-27,33.310001373291016,33.95000076293945,32.04999923706055,32.709999084472656,32.709999084472656,1057100,GO,1.1782330172495228,1.0299602436461557,0.9529196254575946,1.037785887388319,0.1404471298612037,0.0291695342145676,-0.1494366693492853,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-06-28,32.7400016784668,34.20000076293945,32.27299880981445,32.880001068115234,32.880001068115234,541000,GO,1.184306489103807,1.0039536876275843,0.9559002215378404,1.0177841146895463,0.1665223744142605,0.0291787605675222,-0.1338190623460554,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-07-01,33.25,33.7400016784668,31.21999931335449,33.099998474121094,33.099998474121094,995900,GO,1.1761329939520335,1.024471341710916,0.9589124239970516,0.999153047119394,0.1769799468326394,0.0475715365333209,-0.1273469761478606,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-07-02,32.790000915527344,33.72999954223633,32.60699844360352,33.0,33.0,380700,GO,1.1742424242424243,1.0303030303030305,0.9872727827592328,0.9900308614668376,0.1842115627755867,0.0419798631144368,-0.104306637182017,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
2019-07-03,33.02000045776367,33.5,33.012001037597656,33.20000076293945,33.20000076293945,251100,GO,1.1578312573299347,1.0105421224722315,0.9879517615455774,0.9525258317006552,0.2053054256292795,0.0344141233351587,-0.0911486334324741,68824000.0,287457000.0,1076911000.0,299951000.0,3463000.0,1376862000.0,68000.0,12426000.0,747943000.0,15691000.0,21063000.0,150924000.0,,304032000.0,240372000.0,-516816000.0,7125000.0,848000000.0,198304000.0,98123000.0,75968000.0,7349000.0,16315000.0,-73550000.0,146584000.0,-16999000.0,14690000.0,29000.0,15868000.0,15262000.0,105811000.0,47057000.0,-6707000.0,-153587000.0,-15292000.0,-642000.0,-10025000.0,23548000.0,-64762000.0
