,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,21565000.0,14937000.0,-5667000.0
Total Cashflows From Investing Activities,-11329000.0,-3528000.0,12788000.0
Net Borrowings,155770000.0,52979000.0,-13391000.0
Total Cash From Financing Activities,1237035000.0,275242000.0,132375000.0
Change To Operating Activities,34258000.0,8382000.0,-5689000.0
Issuance Of Stock,1075836000.0,1810000.0,31000.0
Net Income,-202799000.0,-142978000.0,-85178000.0
Change In Cash,870452000.0,56078000.0,80252000.0
Repurchase Of Stock,-4733000.0,-5824000.0,-5824000.0
Total Cash From Operating Activities,-355254000.0,-215636000.0,-64911000.0
Depreciation,4654000.0,6157000.0,6932000.0
Change To Inventory,-224489000.0,-92877000.0,11902000.0
Change To Account Receivables,-32068000.0,-18430000.0,9049000.0
Other Cashflows From Financing Activities,-11532000.0,-1225000.0,-164000.0
Change To Netincome,42687000.0,8816000.0,3461000.0
Capital Expenditures,-11329000.0,-3528000.0,-2062000.0
