,Unnamed: 0,2020-12-31,2019-12-31,2018-12-31
0,Capital Surplus,2004841000.0,,
1,Total Liab,496954000.0,262907000.0,170610000.0
2,Total Stockholder Equity,1227102000.0,-573852000.0,-296866000.0
3,Other Current Liab,55097000.0,33915000.0,13413000.0
4,Total Assets,1724056000.0,563387000.0,392844000.0
5,Common Stock,132000.0,8000.0,4000.0
6,Other Current Assets,34626000.0,2153000.0,1953000.0
7,Retained Earnings,-777871000.0,-573860000.0,-296870000.0
8,Other Liab,2151000.0,3073000.0,2270000.0
9,Good Will,78172000.0,78172000.0,78172000.0
10,Other Assets,15776000.0,12057000.0,5573000.0
11,Cash,1056213000.0,217734000.0,161656000.0
12,Total Current Liabilities,482710000.0,259834000.0,152295000.0
13,Property Plant Equipment,32229000.0,7828000.0,7673000.0
14,Total Current Assets,1597879000.0,465330000.0,297481000.0
15,Net Tangible Assets,1148930000.0,-652024000.0,-378983000.0
16,Net Receivables,60576000.0,30848000.0,13207000.0
17,Inventory,423647000.0,205746000.0,115551000.0
18,Accounts Payable,32925000.0,18987000.0,14824000.0
19,Deferred Long Term Liab,,2400000.0,
20,Intangible Assets,,,3945000.0
21,Short Long Term Debt,,,8386000.0
22,Long Term Debt,,,16045000.0
0,Change To Liabilities,21565000.0,14937000.0,-5667000.0
1,Total Cashflows From Investing Activities,-11329000.0,-3528000.0,12788000.0
2,Net Borrowings,155770000.0,52979000.0,-13391000.0
3,Total Cash From Financing Activities,1237035000.0,275242000.0,132375000.0
4,Change To Operating Activities,34258000.0,8382000.0,-5689000.0
5,Issuance Of Stock,1075836000.0,1810000.0,31000.0
6,Net Income,-202799000.0,-142978000.0,-85178000.0
7,Change In Cash,870452000.0,56078000.0,80252000.0
8,Repurchase Of Stock,-4733000.0,-5824000.0,-5824000.0
9,Total Cash From Operating Activities,-355254000.0,-215636000.0,-64911000.0
10,Depreciation,4654000.0,6157000.0,6932000.0
11,Change To Inventory,-224489000.0,-92877000.0,11902000.0
12,Change To Account Receivables,-32068000.0,-18430000.0,9049000.0
13,Other Cashflows From Financing Activities,-11532000.0,-1225000.0,-164000.0
14,Change To Netincome,42687000.0,8816000.0,3461000.0
15,Capital Expenditures,-11329000.0,-3528000.0,-2062000.0
