Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Total Liab,Total Stockholder Equity,Minority Interest,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2020-07-24,28.666667938232425,30.0,28.433332443237305,28.559999465942383,27.60529327392578,25350,BEPC,1.2500000690935833,1.549296337128045,1.9860715627116856,,3838000000.0,2756000000.0,3321000000.0,39000000.0,9915000000.0,1068000000.0,17000000.0,1733000000.0,828000000.0,1688000000.0,37000000.0,60000000.0,428000000.0,,201000000.0,1688000000.0,8513000000.0,500000000.0,37000000.0,1928000000.0,368000000.0,1677000000.0,,68000000.0,0.0,-1042000000.0,65000000.0,-60000000.0,75000000.0,229000000.0,72000000.0,80000000.0,-11000000.0,1193000000.0,862000000.0,92000000.0,-495000000.0,-20000000.0,141000000.0,204000000.0,-207000000.0
2020-07-27,27.666667938232425,28.666667938232425,27.58666610717773,28.38666725158692,27.4377555847168,134400,BEPC,1.2693753881570375,1.5310568034587562,1.9624911176600868,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-07-28,28.99333381652832,28.99333381652832,26.8933334350586,27.786666870117188,26.857810974121094,1073250,BEPC,1.2994241695397588,1.616359311844109,1.9767790138757788,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-07-29,28.18000030517578,29.65333366394043,27.86666679382324,29.18666648864746,28.211009979248047,550350,BEPC,1.2139305971714376,1.5374457750258372,1.9621824371459515,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-07-30,29.933332443237305,30.14666748046875,27.14666748046875,27.14666748046875,26.23920440673828,8435250,BEPC,1.2605927207437722,1.7265068438383648,2.1260641568958123,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-07-31,27.666667938232425,30.15333366394043,27.57333374023437,29.959999084472656,28.95849227905273,3094350,BEPC,1.125171265245258,1.5601210333678248,1.8171417393211569,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-08-03,30.166667938232425,31.96666717529297,30.100000381469727,31.33333206176757,30.28591728210449,5355150,BEPC,1.114677083407464,1.4889527332577053,1.68347297355935,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-08-04,31.0,31.36000061035156,30.07999992370605,30.11333274841309,29.10670280456543,2120550,BEPC,1.1417594482937583,1.6262706585947388,1.69142457599935,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-08-05,30.953332901000977,32.15999984741211,30.299999237060547,31.15999984741211,30.11838150024414,1235850,BEPC,1.0975842372089,1.5904080539527492,1.6437176399839246,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
2020-08-06,30.799999237060547,31.14666748046875,30.53333282470703,31.02666664123535,29.98950386047364,786900,BEPC,1.0910376218180886,1.5775317609965491,1.5857696845101583,241000000.0,17883000000.0,7348000000.0,10526000000.0,199000000.0,35757000000.0,1452000000.0,202000000.0,4779000000.0,949000000.0,5896000000.0,197000000.0,304000000.0,1424000000.0,4000000.0,605000000.0,5896000000.0,32647000000.0,1363000000.0,360000000.0,6158000000.0,757000000.0,11353000000.0,37000000.0,319000000.0,-6000000.0,-1102000000.0,706000000.0,-288000000.0,92000000.0,13000000.0,165000000.0,-38000000.0,-4000000.0,1356000000.0,983000000.0,36000000.0,-628000000.0,-44000000.0,-379000000.0,166000000.0,-406000000.0
