Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Other Assets,Cash,Total Current Liabilities,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Accounts Payable,Deferred Long Term Asset Charges,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Account Receivables,Change To Netincome,Capital Expenditures,Issuance Of Stock
2017-09-29,56.650001525878906,57.18999862670898,56.41999816894531,56.68999862670898,46.54586410522461,187600,MCY,0.9872994124844212,0.9311212625040785,0.8548933146223086,1.0206479989635429,-0.0333485864791216,-0.1591391262183675,-0.2343998843688943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,56.630001068115234,57.34000015258789,56.34999847412109,57.09000015258789,46.87428665161133,322200,MCY,0.9816080371665814,0.9238888156907988,0.8630936196701561,1.012478214064533,-0.0308701768979515,-0.1648187400706008,-0.2260372588067777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,57.119998931884766,57.220001220703125,56.34999847412109,56.959999084472656,46.767555236816406,212600,MCY,0.9841994597969272,0.9227997703720948,0.8652435261358351,1.0113391723313174,-0.0271397125343901,-0.1671636046328072,-0.216557116084737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,57.25,57.25,56.38999938964844,56.650001525878906,46.51302719116211,102600,MCY,0.9789936300916148,0.925706163094882,0.8774001155242497,1.0126829906128405,-0.0336893605212257,-0.1627775239266844,-0.2125592510724143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,56.650001525878906,57.0,56.43000030517578,56.5099983215332,46.398067474365234,70100,MCY,0.9847814371072868,0.945546217105601,0.8801183920874623,1.0121464877707815,-0.0273650506634947,-0.1372542585775116,-0.2178033566837968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,56.43999862670898,56.9900016784668,56.18999862670898,56.31999969482422,46.24207305908203,154900,MCY,0.9873932547230748,0.951251278452002,0.8801741318034312,1.0081446760609294,-0.0207514213378545,-0.1436919443750342,-0.2203989346323324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,56.56999969482422,56.83000183105469,56.0,56.18000030517578,46.12712478637695,141200,MCY,0.9873620869555436,0.9669490832288492,0.8889386648918218,1.0143616235707735,-0.0269995366152299,-0.1367663417238034,-0.2095434812848751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,56.27000045776367,56.52000045776367,56.0,56.16999816894531,46.11891555786133,164100,MCY,0.9902081068855002,0.924250175581939,0.8903749169651071,1.008797349947511,-0.0185892430620107,-0.1686005005620066,-0.1989223957288485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,55.84999847412109,56.459999084472656,55.84000015258789,56.08000183105469,46.04502487182617,87100,MCY,0.991797141890672,0.9457598310316612,0.9029581140750031,1.0091988628593096,-0.0174017209686375,-0.1554723767110452,-0.1851389361179904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,56.09000015258789,56.290000915527344,55.709999084472656,55.84000015258789,45.84796524047852,149000,MCY,0.9919411047836928,0.933879750912926,0.9039008903490864,1.0112728774332036,-0.0193317726495108,-0.1648051749104266,-0.172134210616043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,55.88999938964844,56.16999816894531,55.59999847412109,55.7400016784668,45.76585006713867,311600,MCY,0.9908505645838798,0.943360653776872,0.909201972486512,1.0098252549340063,-0.0189746903501267,-0.1648888446104031,-0.167688631357105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,55.68000030517578,56.52999877929688,55.68000030517578,56.34999847412109,46.266700744628906,101500,MCY,0.976042701931593,0.9397918364109508,0.8988136904876746,1.0047827275420922,-0.0287400256104991,-0.1752699287307568,-0.1867803068725319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-17,56.47999954223633,56.63999938964844,55.90999984741211,56.0,45.97933197021485,106400,MCY,0.9814285095600288,0.9241649897960756,0.900585869021072,1.016827126331923,-0.0353986167718942,-0.1968307803732406,-0.1863524172937283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-18,56.29999923706055,56.630001068115234,55.959999084472656,56.43999862670898,46.340599060058594,95100,MCY,0.9705881917136364,0.9074589785403416,0.8308809498917921,1.016900814218988,-0.0463126225053515,-0.2091247455569648,-0.2451143945328632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
