,2020-12-31,2019-12-31,2018-12-31,2017-12-31
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,35000000.0,-284000000.0,-52000000.0,1211000000.0
Net Borrowings,-616000000.0,1513000000.0,1120000000.0,-250000000.0
Total Cash From Financing Activities,-1033000000.0,-1508000000.0,-2374000000.0,-3896000000.0
Change To Operating Activities,-28000000.0,-273000000.0,-76000000.0,-30000000.0
Net Income,-267000000.0,1273000000.0,1907000000.0,1459000000.0
Change In Cash,641000000.0,-107000000.0,-69000000.0,-458000000.0
Repurchase Of Stock,-253000000.0,-2408000000.0,-2955000000.0,-3170000000.0
Total Cash From Operating Activities,1639000000.0,1685000000.0,2357000000.0,2227000000.0
Depreciation,419000000.0,451000000.0,367000000.0,347000000.0
Other Cashflows From Investing Activities,-57000000.0,-47000000.0,-10000000.0,-61000000.0
Dividends Paid,-156000000.0,-612000000.0,-543000000.0,-482000000.0
Other Cashflows From Financing Activities,-8000000.0,-8000000.0,-8000000.0,-8000000.0
Change To Netincome,1515000000.0,234000000.0,159000000.0,451000000.0
Capital Expenditures,-135000000.0,-653000000.0,-556000000.0,-240000000.0
Issuance Of Stock,,7000000.0,4000000.0,6000000.0
