Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Long Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2019-06-27,14.0,15.1899995803833,13.529999732971191,15.0,15.0,18259500,CHNG,0.9359999974568683,0.8120000203450519,1.043999989827474,1.037785887388319,-0.1017858899314506,-0.188790689086536,-0.0583563049794058,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-06-28,14.720000267028809,15.300000190734863,14.31999969482422,14.600000381469728,14.600000381469728,4175900,CHNG,0.9541095850145106,0.8178081690694685,1.0719177540839793,1.0177841146895463,-0.0636745296750359,-0.1569667579905935,-0.0178015297999165,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-01,15.0,15.0,14.079999923706056,14.399999618530272,14.399999618530272,2468000,CHNG,0.9402778000375378,0.8173611645529315,1.1013888942238728,0.999153047119394,-0.0588752470818563,-0.1595386406246635,0.0151294940789605,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-02,14.449999809265137,14.800000190734863,14.239999771118164,14.5,14.5,1939700,CHNG,0.9075861963732488,0.8372414029877762,1.0758620952737743,0.9900308614668376,-0.0824446650935888,-0.1510817642008175,-0.0157173246674755,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-03,14.5,15.199999809265137,14.470000267028809,14.880000114440918,14.880000114440918,5208300,CHNG,0.8830645324102177,0.8125000040056884,1.0530913948774998,0.9525258317006552,-0.0694612992904375,-0.1636279951313843,-0.0260090001005517,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-05,14.899999618530272,15.149999618530272,14.75,14.93000030517578,14.93000030517578,613100,CHNG,0.8928331983412585,0.8010716539637848,1.0535833369529948,0.9643929056443962,-0.0715597073031376,-0.1576369654467125,-0.0347050633455963,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-08,14.899999618530272,15.100000381469728,14.649999618530272,14.770000457763672,14.770000457763672,1740300,CHNG,0.8903181591723062,0.8188896338639731,1.1171292815584832,0.9738381931141588,-0.0835200339418527,-0.1547267929948593,0.018449133659635,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-09,14.84000015258789,14.960000038146973,14.699999809265137,14.8100004196167,14.8100004196167,2653400,CHNG,0.9014179610546724,0.8561782542815048,1.0911545840341272,0.9920007326738394,-0.0905827716191669,-0.1215728172353131,-0.0079701463470975,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-10,14.81999969482422,15.220000267028809,14.59000015258789,14.649999618530272,14.649999618530272,1424000,CHNG,0.9010239012272,0.8682594265012625,1.1160410107307568,0.9810388553975538,-0.0800149541703537,-0.1233476278609234,0.0067530141477627,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
2019-07-11,14.699999809265137,15.039999961853027,14.630000114440918,14.869999885559082,14.869999885559082,1643400,CHNG,0.8802959148170655,0.83322128034145,1.1277740811585186,0.966091893467101,-0.0857959786500355,-0.1556275032585998,0.0178628491246879,,1153509000.0,166336000.0,1132487000.0,,6343000.0,1298823000.0,75000.0,,-17841000.0,159993000.0,,-3256000.0,81264000.0,3409000.0,6343000.0,,-3256000.0,,5563000.0,1132487000.0,2154000.0,,,1211996000.0,0.0,6503000.0,286273000.0,-6502000.0,4189000.0,848812000.0,-52012000.0,3409000.0,-6502000.0,16000.0,3408000.0,20548000.0,6503000.0,-21211000.0,-6502000.0,51231000.0,-13002000.0,6503000.0
