,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Intangible Assets,304000000.0,308000000.0,319000000.0,317000000.0
Capital Surplus,292000000.0,253000000.0,257000000.0,248000000.0
Total Liab,7063000000.0,6849000000.0,7014000000.0,6885000000.0
Total Stockholder Equity,3798000000.0,3542000000.0,3526000000.0,2508000000.0
Minority Interest,359000000.0,365000000.0,369000000.0,376000000.0
Other Current Liab,191000000.0,122000000.0,177000000.0,293000000.0
Total Assets,11220000000.0,10756000000.0,10909000000.0,9769000000.0
Other Current Assets,72000000.0,53000000.0,55000000.0,57000000.0
Retained Earnings,8797000000.0,8335000000.0,8091000000.0,6710000000.0
Other Liab,1597000000.0,1592000000.0,1606000000.0,1145000000.0
Good Will,1143000000.0,1134000000.0,1166000000.0,1128000000.0
Treasury Stock,-5291000000.0,-5046000000.0,-4822000000.0,-4450000000.0
Other Assets,757000000.0,711000000.0,670000000.0,499000000.0
Cash,1054000000.0,791000000.0,955000000.0,615000000.0
Total Current Liabilities,2129000000.0,1935000000.0,1973000000.0,2409000000.0
Deferred Long Term Asset Charges,257000000.0,255000000.0,259000000.0,87000000.0
Short Long Term Debt,94000000.0,479000000.0,469000000.0,519000000.0
Other Stockholder Equity,-298000000.0,-302000000.0,-328000000.0,-344000000.0
Property Plant Equipment,4137000000.0,4097000000.0,4171000000.0,4061000000.0
Total Current Assets,4061000000.0,3710000000.0,3763000000.0,2771000000.0
Long Term Investments,818000000.0,796000000.0,820000000.0,993000000.0
Net Tangible Assets,2351000000.0,2100000000.0,2041000000.0,1063000000.0
Short Term Investments,29000000.0,331000000.0,533000000.0,35000000.0
Net Receivables,1788000000.0,1510000000.0,1242000000.0,1063000000.0
Long Term Debt,2968000000.0,2941000000.0,3069000000.0,2939000000.0
Inventory,1118000000.0,1025000000.0,978000000.0,1001000000.0
Accounts Payable,998000000.0,906000000.0,797000000.0,699000000.0
