Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-12,17.0,17.75,16.6200008392334,17.0,17.0,10633800,HAYW,0.9523529725916244,1.424117593204274,1.2852941400864546,1.0207674438038497,-0.0684144712122252,0.3752929454380236,0.235279635733473,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-15,17.15999984741211,17.5,16.760000228881836,17.06999969482422,17.06999969482422,1736000,HAYW,0.957234941107956,1.4206209978640376,1.3116578670143324,1.017237660715961,-0.0600027196080049,0.3933709393516331,0.2751156686927598,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-16,17.200000762939453,17.5,16.860000610351562,16.899999618530273,16.899999618530273,1411100,HAYW,0.9686391247775088,1.4011834816381574,1.337278159266323,1.0317473901389642,-0.0631082653614554,0.378413170273052,0.2783308596382632,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-17,16.989999771118164,17.094999313354492,16.739999771118164,16.739999771118164,16.739999771118164,1111500,HAYW,0.979689357393272,1.4749104463343985,1.3626045267513625,1.0204048792069982,-0.0407155218137261,0.4385745102040415,0.2945896632115501,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-18,16.799999237060547,17.979999542236328,16.780000686645508,17.09000015258789,17.09000015258789,4649100,HAYW,0.9496781391063164,1.433001729225246,1.3247512690174044,1.026141003020234,-0.0764628639139176,0.3770407710295786,0.241830260077031,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-19,17.049999237060547,17.84000015258789,16.920000076293945,17.0,17.0,888000,HAYW,0.9788234935087315,1.4505882263183594,1.3500000448787914,1.039291194415156,-0.0604677009064243,0.3961751040743864,0.2665120248762076,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-22,17.020000457763672,17.3700008392334,16.610000610351562,16.8799991607666,16.8799991607666,387300,HAYW,1.011848387019136,1.4822275889631853,1.321090067876982,1.0344112053404404,-0.0225628183213044,0.4210226287216898,0.2575578383336616,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-23,16.799999237060547,17.0,16.579999923706055,17.0,17.0,250300,HAYW,1.0282352671903725,1.4547058554256664,1.3623529322007124,1.0693935085724935,-0.0411582413821212,0.3625805087861535,0.2770512019133819,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-24,17.110000610351562,17.110000610351562,16.600000381469727,16.729999542236328,16.729999542236328,221600,HAYW,1.0818888748786104,1.4644351865131635,1.3293484984844957,1.0856410250000772,-0.0037521501214667,0.3681314438024388,0.248135331587225,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-25,16.639999389648438,16.639999389648438,15.84000015258789,16.0,16.0,1349900,HAYW,1.1974999904632568,1.597499966621399,1.3531249761581423,1.0730788964453477,0.1244210940179093,0.5165394348041141,0.2734374519156617,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-26,15.880000114440918,16.575000762939453,15.649999618530272,16.020000457763672,16.020000457763672,520300,HAYW,1.1985018860367558,1.6242197075065476,1.3395754351600304,1.054404908622988,0.1440969774137677,0.5613616799161159,0.2881509709229255,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
2021-03-29,15.699999809265137,16.350000381469727,15.609999656677246,16.0,16.0,1062200,HAYW,1.2531249523162842,1.6506249904632568,1.3862500190734863,1.0689163053254425,0.1842086469908417,0.570084653826751,0.3153484919710212,,,,164000000.0,,,,,,,,,,,,,,,,-1904700000.0,,,,,1100000.0,-3900000.0,149400000.0,147500000.0,1900000.0,100000.0,-10400000.0,45200000.0,-2000000.0,-600000.0,-97800000.0,15400000.0,400000.0,-6500000.0,-102500000.0,-25800000.0,1900000.0,-3900000.0
