,2020-12-31,2019-12-31
Change To Liabilities,69300000.0,30400000.0
Total Cashflows From Investing Activities,-13000000.0,4000000.0
Net Borrowings,146500000.0,-64700000.0
Total Cash From Financing Activities,-135100000.0,-65100000.0
Change To Operating Activities,-13000000.0,9700000.0
Issuance Of Stock,100000.0,1300000.0
Net Income,43300000.0,8500000.0
Change In Cash,68100000.0,32900000.0
Repurchase Of Stock,-2500000.0,-1000000.0
Effect Of Exchange Rate,2400000.0,2400000.0
Total Cash From Operating Activities,213800000.0,94000000.0
Depreciation,62800000.0,64000000.0
Other Cashflows From Investing Activities,2100000.0,2200000.0
Dividends Paid,-275200000.0,-200000.0
Change To Inventory,-4700000.0,5100000.0
Change To Account Receivables,47100000.0,2200000.0
Other Cashflows From Financing Activities,-4000000.0,-500000.0
Change To Netincome,3600000.0,-31200000.0
Capital Expenditures,-14200000.0,-25000000.0
