Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Dividends Paid,Change To Inventory,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures
2021-03-12,17.0,17.75,16.6200008392334,17.0,17.0,10633800,HAYW,0.9523529725916244,1.424117593204274,1.2852941400864546,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-15,17.15999984741211,17.5,16.760000228881836,17.06999969482422,17.06999969482422,1736000,HAYW,0.957234941107956,1.4206209978640376,1.3116578670143324,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-16,17.200000762939453,17.5,16.860000610351562,16.899999618530273,16.899999618530273,1411100,HAYW,0.9686391247775088,1.4011834816381574,1.337278159266323,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-17,16.989999771118164,17.094999313354492,16.739999771118164,16.739999771118164,16.739999771118164,1111500,HAYW,0.979689357393272,1.4749104463343985,1.3626045267513625,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-18,16.799999237060547,17.979999542236328,16.780000686645508,17.09000015258789,17.09000015258789,4649100,HAYW,0.9496781391063164,1.433001729225246,1.3247512690174044,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-19,17.049999237060547,17.84000015258789,16.920000076293945,17.0,17.0,888000,HAYW,0.9788234935087315,1.4505882263183594,1.3500000448787914,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-22,17.020000457763672,17.3700008392334,16.610000610351562,16.8799991607666,16.8799991607666,387300,HAYW,1.011848387019136,1.4822275889631853,1.321090067876982,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-23,16.799999237060547,17.0,16.579999923706055,17.0,17.0,250300,HAYW,1.0282352671903725,1.4547058554256664,1.3623529322007124,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-24,17.110000610351562,17.110000610351562,16.600000381469727,16.729999542236328,16.729999542236328,221600,HAYW,1.0818888748786104,1.4644351865131635,1.3293484984844957,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-25,16.639999389648438,16.639999389648438,15.84000015258789,16.0,16.0,1349900,HAYW,1.1974999904632568,1.597499966621399,1.3531249761581423,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
2021-03-26,15.880000114440918,16.575000762939453,15.649999618530272,16.020000457763672,16.020000457763672,520300,HAYW,1.1985018860367558,1.6242197075065476,1.3395754351600304,1114200000.0,10300000.0,2397900000.0,209200000.0,1000000.0,37000000.0,2607100000.0,13700000.0,203000000.0,879000000.0,920300000.0,-4100000.0,5900000.0,114900000.0,218600000.0,7300000.0,-400000.0,142300000.0,424400000.0,-1825300000.0,140200000.0,1292600000.0,145300000.0,83300000.0,69300000.0,-13000000.0,146500000.0,-135100000.0,-13000000.0,100000.0,43300000.0,68100000.0,-2500000.0,2400000.0,213800000.0,62800000.0,2100000.0,-275200000.0,-4700000.0,47100000.0,-4000000.0,3600000.0,-14200000.0
