,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Investments,-10000000.0,-25000000.0,-25000000.0,-25000000.0
Change To Liabilities,13401000.0,503999.0,1694000.0,24000.0
Total Cashflows From Investing Activities,-23035000.0,-31359000.0,-15841000.0,-15445000.0
Net Borrowings,-4426000.0,-4428000.0,-4422000.0,-4409000.0
Total Cash From Financing Activities,-4337000.0,-4084000.0,-3903000.0,-4222000.0
Change To Operating Activities,7718000.0,-13763000.0,1692000.0,-2670000.0
Issuance Of Stock,234000.0,344000.0,690000.0,298000.0
Net Income,14010000.0,5581000.0,8690000.0,-3111000.0
Change In Cash,23438000.0,-11867000.0,14198000.0,-8358000.0
Effect Of Exchange Rate,67000.0,53000.0,689000.0,440000.0
Total Cash From Operating Activities,50743000.0,23523000.0,33253000.0,10869000.0
Depreciation,15095000.0,15453000.0,14405000.0,13651000.0
Change To Inventory,-730000.0,6000.0,1333000.0,971000.0
Change To Account Receivables,-8422000.0,9428000.0,-4535000.0,1229000.0
Other Cashflows From Financing Activities,-145000.0,-145000.0,-171000.0,-111000.0
Change To Netincome,7969000.0,4448000.0,10940000.0,-3439000.0
Capital Expenditures,-13036000.0,-6359000.0,-15841000.0,-15558000.0
