Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Minority Interest,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Long Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Repurchase Of Stock,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Change To Netincome,Capital Expenditures,Other Cashflows From Financing Activities
2017-09-29,138.89999389648438,140.8000030517578,138.64999389648438,139.35000610351562,139.35000610351562,145200,CACI,1.0315751252512746,0.9802655193430192,1.102978042455676,1.0206479989635429,0.0109271262877317,-0.1099948693794268,0.0136848434644731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,138.89999389648438,142.35000610351562,138.8000030517578,142.1999969482422,142.1999969482422,151000,CACI,0.999648361091203,0.9644866163140924,1.0886076397603706,1.012478214064533,-0.0128298529733299,-0.1242209394473072,-0.0005232387165632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,141.39999389648438,143.60000610351562,139.0500030517578,142.39999389648438,142.39999389648438,222500,CACI,0.9371488951414684,0.9708567831856708,1.0814607205106208,1.0113391723313174,-0.074190277189849,-0.1191065918192312,-0.0003399217099513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,142.14999389648438,142.14999389648438,140.35000610351562,141.5,141.5,183800,CACI,0.9187279151943464,0.9738516116732,1.0982331724133172,1.0126829906128405,-0.0939550754184941,-0.1146320753483663,0.0082738058166531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,142.14999389648438,144.25,142.0500030517578,142.60000610351562,142.60000610351562,81400,CACI,0.898316974899186,0.96563808593587,1.1041373787455993,1.0121464877707815,-0.1138295128715954,-0.1171623897472426,0.0062156299743401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,141.64999389648438,142.4499969482422,141.4499969482422,142.1999969482422,142.1999969482422,67100,CACI,0.9127989158748174,0.9940225677709688,1.119901571150973,1.0081446760609294,-0.0953457601861119,-0.1009206550560674,0.0193285047152094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,142.8000030517578,143.8000030517578,142.5,142.64999389648438,142.64999389648438,104000,CACI,0.9050123492973896,0.9628462108675956,1.1135647592020717,1.0143616235707735,-0.1093492742733839,-0.140869214085057,0.0150826130253747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,143.35000610351562,143.39999389648438,142.25,143.3000030517578,143.3000030517578,78000,CACI,0.881367762470599,0.9588275713215272,1.1088624599616517,1.008797349947511,-0.1274295874769119,-0.1340231048224184,0.019565147267696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,143.0,143.85000610351562,142.0500030517578,142.14999389648438,142.14999389648438,62200,CACI,0.8779458910328123,0.976785171054092,1.1202955106418653,1.0091988628593096,-0.1312529718264973,-0.1244470366886143,0.0321984604488716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,142.0500030517578,143.35000610351562,141.60000610351562,142.3000030517578,142.3000030517578,62600,CACI,0.8777231120680291,0.9659170344377886,1.101897397674166,1.0112728774332036,-0.1335497653651745,-0.132767891385564,0.0258622967090365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
