,2021-01-30,2020-02-01,2019-02-02
Investments,-927000.0,-585000.0,-767000.0
Change To Liabilities,46303000.0,15928000.0,23771000.0
Total Cashflows From Investing Activities,-157185000.0,-139041000.0,-142682000.0
Net Borrowings,-1082294000.0,-506000.0,-28140000.0
Total Cash From Financing Activities,-146608000.0,-3071000.0,-32099000.0
Change To Operating Activities,-379969000.0,-425070000.0,8585000.0
Issuance Of Stock,936041000.0,936041000.0,936041000.0
Net Income,-26483000.0,-95873000.0,-413788000.0
Change In Cash,-35178000.0,-31775000.0,28421000.0
Repurchase Of Stock,-105000.0,-105000.0,-111000.0
Total Cash From Operating Activities,268615000.0,110337000.0,203202000.0
Depreciation,174836000.0,173544000.0,186997000.0
Change To Inventory,-60635000.0,-8193000.0,644000.0
Change To Account Receivables,-10311000.0,-3845000.0,23630000.0
Other Cashflows From Financing Activities,-250000.0,-2565000.0,-3848000.0
Change To Netincome,500637000.0,430391000.0,350775000.0
Capital Expenditures,-159560000.0,-156906000.0,-148063000.0
Other Cashflows From Investing Activities,,20508000.0,6448000.0
