,Unnamed: 0,2021-01-30,2020-02-01,2019-02-02
0,Intangible Assets,1025714000.0,1026553000.0,1172006000.0
1,Capital Surplus,2092110000.0,,
2,Total Liab,4020437000.0,5594057000.0,4286470000.0
3,Total Stockholder Equity,2068848000.0,569391000.0,637909000.0
4,Minority Interest,-13583000.0,-8330000.0,
5,Other Current Liab,20372000.0,27663000.0,26408000.0
6,Total Assets,6075702000.0,6155118000.0,4924379000.0
7,Common Stock,264000.0,1358130000.0,1347622000.0
8,Other Current Assets,39813000.0,20882000.0,27274000.0
9,Retained Earnings,-22251000.0,-780466000.0,-707518000.0
10,Other Liab,403838000.0,353886000.0,545581000.0
11,Good Will,2179310000.0,2179310000.0,2176290000.0
12,Treasury Stock,-1275000.0,-8273000.0,-2195000.0
13,Other Assets,137474000.0,122390000.0,130928000.0
14,Cash,111402000.0,148785000.0,180649000.0
15,Total Current Liabilities,875307000.0,841941000.0,543470000.0
16,Other Stockholder Equity,-1275000.0,-8273000.0,-2195000.0
17,Property Plant Equipment,1955655000.0,2115860000.0,683547000.0
18,Total Current Assets,777549000.0,711005000.0,761608000.0
19,Net Tangible Assets,-1136176000.0,-2636472000.0,-2710387000.0
20,Net Receivables,47627000.0,37516000.0,34779000.0
21,Long Term Debt,1646281000.0,3228447000.0,3197419000.0
22,Inventory,538675000.0,478968000.0,470144000.0
23,Accounts Payable,286985000.0,240803000.0,233632000.0
24,Short Long Term Debt,,25250000.0,28354000.0
0,Investments,-927000.0,-585000.0,-767000.0
1,Change To Liabilities,46303000.0,15928000.0,23771000.0
2,Total Cashflows From Investing Activities,-157185000.0,-139041000.0,-142682000.0
3,Net Borrowings,-1082294000.0,-506000.0,-28140000.0
4,Total Cash From Financing Activities,-146608000.0,-3071000.0,-32099000.0
5,Change To Operating Activities,-379969000.0,-425070000.0,8585000.0
6,Issuance Of Stock,936041000.0,936041000.0,936041000.0
7,Net Income,-26483000.0,-95873000.0,-413788000.0
8,Change In Cash,-35178000.0,-31775000.0,28421000.0
9,Repurchase Of Stock,-105000.0,-105000.0,-111000.0
10,Total Cash From Operating Activities,268615000.0,110337000.0,203202000.0
11,Depreciation,174836000.0,173544000.0,186997000.0
12,Change To Inventory,-60635000.0,-8193000.0,644000.0
13,Change To Account Receivables,-10311000.0,-3845000.0,23630000.0
14,Other Cashflows From Financing Activities,-250000.0,-2565000.0,-3848000.0
15,Change To Netincome,500637000.0,430391000.0,350775000.0
16,Capital Expenditures,-159560000.0,-156906000.0,-148063000.0
17,Other Cashflows From Investing Activities,,20508000.0,6448000.0
