,2020-12-31,2019-12-31,2018-12-31
Change To Liabilities,4196000.0,139000.0,108000.0
Total Cashflows From Investing Activities,-4412000.0,-10435000.0,41922000.0
Net Borrowings,50406000.0,-469000.0,377000.0
Total Cash From Financing Activities,356495000.0,51830000.0,91662000.0
Change To Operating Activities,14150000.0,2070000.0,-484000.0
Net Income,-177870000.0,-84840000.0,-45018000.0
Change In Cash,248241000.0,-34704000.0,91335000.0
Effect Of Exchange Rate,6000.0,234000.0,598000.0
Total Cash From Operating Activities,-103848000.0,-76333000.0,-42847000.0
Depreciation,7718000.0,5584000.0,2539000.0
Other Cashflows From Investing Activities,8000.0,-8000.0,-8000.0
Change To Account Receivables,-1004000.0,-116000.0,-116000.0
Other Cashflows From Financing Activities,11943000.0,-200000.0,-3715000.0
Change To Netincome,48962000.0,830000.0,8000.0
Capital Expenditures,-4303000.0,-10328000.0,-10009000.0
Investments,,,51922000.0
