Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Accounts Payable,Minority Interest,Short Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Effect Of Exchange Rate,Total Cash From Operating Activities,Depreciation,Other Cashflows From Investing Activities,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments
2021-04-15,40.47999954223633,41.5,32.130001068115234,40.0,40.0,23695500,TSP,0.9,1.1947500228881835,0.90649995803833,22222000.0,-219370000.0,8867000.0,96544000.0,6000.0,500000.0,-218718000.0,348000.0,-658000.0,3787000.0,63610000.0,17295000.0,-658000.0,22283000.0,70474000.0,-219370000.0,3850000.0,247000.0,-44000.0,,139000.0,-10435000.0,-469000.0,51830000.0,2070000.0,-84840000.0,-34704000.0,234000.0,-76333000.0,5584000.0,-8000.0,-116000.0,-200000.0,830000.0,-10328000.0,
2021-04-16,37.948001861572266,40.66999816894531,36.11000061035156,39.95000076293945,39.95000076293945,6225800,TSP,0.899624479107634,1.237296604785817,0.8853566522255631,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-19,39.470001220703125,39.48699951171875,34.584999084472656,34.939998626708984,34.939998626708984,4260800,TSP,1.008299969288083,1.3096737298253112,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-20,35.5099983215332,36.18999862670898,33.5,33.650001525878906,33.650001525878906,3651900,TSP,1.079940520199983,1.292124742068661,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-21,34.38999938964844,39.5099983215332,33.7599983215332,38.0,38.0,6036600,TSP,0.9710526717336554,1.0839473322818152,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-22,37.84999847412109,38.47999954223633,37.20100021362305,38.04999923706055,38.04999923706055,1223500,TSP,0.9616294582458068,1.050722742283158,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-23,38.04999923706055,40.0,38.04999923706055,39.54999923706055,39.54999923706055,1371100,TSP,0.9299620603995354,1.0528445055096094,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-26,39.7599983215332,41.27000045776367,39.32500076293945,40.02999877929688,40.02999877929688,1067400,TSP,0.951286609849943,0.9997502292820858,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-27,40.25,40.41999816894531,38.41999816894531,39.52999877929688,39.52999877929688,1182400,TSP,0.9577536498731198,0.930938537147992,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
2021-04-28,39.7400016784668,40.40999984741211,38.90999984741211,40.34999847412109,40.34999847412109,500100,TSP,0.9501859133198648,0.9452292647324372,0.0,87267000.0,-405473000.0,50001000.0,346585000.0,6000.0,1536000.0,-405178000.0,2402000.0,-301000.0,4986000.0,310815000.0,81098000.0,-301000.0,22116000.0,319483000.0,-405473000.0,4852000.0,4542000.0,,,4196000.0,-4412000.0,50406000.0,356495000.0,14150000.0,-177870000.0,248241000.0,6000.0,-103848000.0,7718000.0,8000.0,-1004000.0,11943000.0,48962000.0,-4303000.0,
