Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Capital Surplus,Total Liab,Total Stockholder Equity,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Deferred Long Term Asset Charges,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Long Term Investments,Net Tangible Assets,Short Term Investments,Net Receivables,Long Term Debt,Inventory,Accounts Payable,Short Long Term Debt,Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Issuance Of Stock,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Inventory,Change To Account Receivables,Change To Netincome,Capital Expenditures
2017-09-29,59.369998931884766,61.5099983215332,59.369998931884766,61.27999877929688,61.27999877929688,971100,NBIX,1.0135444165729175,1.310052225497417,1.2482049508397064,1.0206479989635429,-0.0071035823906253,0.2197918367749709,0.1589117518485034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-02,61.5,61.97999954223633,59.91999816894531,61.81999969482422,61.81999969482422,1050200,NBIX,0.9856033744088978,1.3220641177676409,1.2275962433562129,1.012478214064533,-0.0268748396556351,0.2333565620062412,0.138465364879279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-03,62.4900016784668,62.900001525878906,61.40999984741211,61.93999862670898,61.93999862670898,677400,NBIX,1.1750080786716972,1.2562156810420322,1.2161770019570497,1.0113391723313174,0.1636689063403797,0.1662523060371301,0.1343763597364775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-04,61.84000015258789,62.7400016784668,61.34999847412109,62.560001373291016,62.560001373291016,789600,NBIX,1.174552457543658,1.2714194240648733,1.203644523638165,1.0126829906128405,0.1618694669308173,0.1829357370433069,0.1136851570415009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-05,63.63999938964844,63.77000045776367,61.0,62.54999923706055,62.54999923706055,891500,NBIX,1.1912070830543462,1.2767386344432587,1.2289369094194482,1.0121464877707815,0.1790605952835646,0.193938158760146,0.131015160648189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-06,62.290000915527344,62.83000183105469,61.83000183105469,62.43999862670898,62.43999862670898,583700,NBIX,1.1936258875479275,1.265214633848621,1.278987866219957,1.0081446760609294,0.1854812114869981,0.1702714110215848,0.1784147997841934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-09,62.7599983215332,63.130001068115234,61.90999984741211,62.31999969482422,62.31999969482422,407500,NBIX,1.1882221343769963,1.3056804099012207,1.2544929507063003,1.0143616235707735,0.1738605108062227,0.201964984948568,0.1560108045296033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-10,62.880001068115234,63.13999938964844,61.7400016784668,62.290000915527344,62.290000915527344,531100,NBIX,1.2107882013234164,1.2215443124022058,1.2746829404217663,1.008797349947511,0.2019908513759054,0.1286936362582602,0.1853856277278107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-11,62.400001525878906,62.47999954223633,61.52000045776367,61.86000061035156,61.86000061035156,539700,NBIX,1.219851250241425,1.226640745307725,1.3152279309343702,1.0091988628593096,0.2106523873821153,0.1254085375650186,0.2271308807413765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-12,61.880001068115234,62.5,61.0099983215332,62.33000183105469,62.33000183105469,663500,NBIX,1.197497147392358,1.2603881798612877,1.258302550957083,1.0112728774332036,0.1862242699591543,0.161703254037935,0.1822674499919536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-13,62.119998931884766,63.040000915527344,61.9900016784668,62.150001525878906,62.150001525878906,437900,NBIX,1.1934029983581151,1.2981496110113704,1.2576026024643618,1.0098252549340063,0.1835777434241086,0.1899001126240953,0.1807119986207448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-16,62.0099983215332,62.75,61.09000015258789,61.13999938964844,61.13999938964844,543500,NBIX,1.1782793855854106,1.3933595566216133,1.2993131049140338,1.0047827275420922,0.1734966580433183,0.2782977914799056,0.2137191075538274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
