Date,Open,High,Low,Close,Adj Close,Volume,ticker,PriceReturn_22days,PriceReturn_66days,PriceReturn_132days,PriceReturn_22days_mean,AdjRet22Day,AdjRet66Day,AdjRet132Day,Intangible Assets,Capital Surplus,Total Liab,Total Stockholder Equity,Deferred Long Term Liab,Other Current Liab,Total Assets,Common Stock,Other Current Assets,Retained Earnings,Other Liab,Good Will,Treasury Stock,Other Assets,Cash,Total Current Liabilities,Short Long Term Debt,Other Stockholder Equity,Property Plant Equipment,Total Current Assets,Net Tangible Assets,Net Receivables,Long Term Debt,Accounts Payable,Short Term Investments,Change To Liabilities,Total Cashflows From Investing Activities,Net Borrowings,Total Cash From Financing Activities,Change To Operating Activities,Net Income,Change In Cash,Total Cash From Operating Activities,Depreciation,Change To Account Receivables,Other Cashflows From Financing Activities,Change To Netincome,Capital Expenditures,Investments,Other Cashflows From Investing Activities
2018-09-13,30.0,30.0,30.0,30.0,30.0,1000,FTDR,1.325,0.7713333129882813,1.0800000508626302,0.9265966228653494,0.3984033771346505,-0.089473175285127,0.0966906284978167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-14,32.25,37.2599983215332,32.25,37.0,37.0,256800,FTDR,1.092162158038165,0.6364864658665013,0.8854053600414379,0.9450727450922518,0.1470894129459132,-0.2093466464433182,-0.0908033831347759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,37.0,37.0,33.5,37.0,37.0,180400,FTDR,1.0532432762352195,0.6335135279475032,0.9318918795199008,0.9498029031390748,0.1034403730961446,-0.2041829352732059,-0.0587919558170101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-18,37.59999847412109,37.59999847412109,37.09999847412109,37.09999847412109,37.09999847412109,3100,FTDR,1.0334232272093424,0.6293800900762139,0.9277627920377088,0.9312963299920388,0.1021268972173037,-0.1872943905249688,-0.063623534798613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,37.0,38.0,37.0,37.5,37.5,258900,FTDR,0.9935999552408854,0.6472000122070313,0.9149333699544272,0.9281535809731144,0.0654463742677711,-0.1514311863934108,-0.091229278282325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,38.0,40.0,37.95000076293945,38.0,38.0,63300,FTDR,0.989473644055818,0.6671052731965718,0.8965789393374795,0.9173105895814624,0.0721630544743556,-0.1633091267269649,-0.1022022369924947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-21,38.650001525878906,38.84999847412109,38.5,38.709999084472656,38.709999084472656,90400,FTDR,0.9795918126010954,0.6546112309972196,0.8798760573195972,0.911986622194144,0.0676051904069513,-0.1824229537167288,-0.1242989645797847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,39.0,39.09999847412109,38.709999084472656,39.06999969482422,39.06999969482422,25800,FTDR,0.921167186065644,0.6577937282744348,0.8605067620806396,0.8905498993775471,0.0306172866880968,-0.1843117853868522,-0.1506553007742633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-25,39.25,43.619998931884766,39.25,40.04999923706055,40.04999923706055,79400,FTDR,0.8739076321283049,0.6644195035521451,0.8866416728586046,0.9049442418293064,-0.0310366097010015,-0.1861744402361786,-0.1317692727297543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,40.0,40.0,40.0,40.0,40.0,48600,FTDR,0.8307499885559082,0.6619999885559082,0.8662500381469727,0.8967353845070432,-0.0659853959511349,-0.1922931783507264,-0.1590346107077465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
